feature,gain,cover,weight
global_aperiodic_exponent_p95,135.44554138183594,1651.0738525390625,320.0
net8_Default_Mode_aperiodic_exponent_p95,77.67735290527344,1526.7291259765625,396.0
net8_Limbic_aperiodic_exponent_p95,30.25752067565918,1662.5765380859375,743.0
net8_Default_Mode_n,29.05588150024414,1637.2025146484375,852.0
net8_Limbic_alpha_peak_cf_median,27.544273376464844,970.8473510742188,422.0
net8_Limbic_alpha_peak_cf_p5,27.264101028442383,750.5964965820312,459.0
net8_Executive_Control_alpha_peak_bw_median,24.07207679748535,1090.204345703125,636.0
net8_Temporal_Parietal_alpha_peak_cf_median,23.553815841674805,680.680419921875,431.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,20.050201416015625,943.8021850585938,478.0
global_alpha_peak_bw_median,19.881858825683594,1297.5355224609375,745.0
global_alpha_peak_cf_median,17.141767501831055,779.1322631835938,181.0
net8_Executive_Control_aperiodic_exponent_p95,16.405593872070312,490.0704345703125,219.0
global_alpha_peak_cf_p5,16.14911651611328,754.2918090820312,393.0
net8_Temporal_Parietal_aperiodic_exponent_p95,15.730355262756348,1150.89794921875,584.0
net8_Visual_alpha_peak_cf_median,15.563300132751465,763.9321899414062,542.0
net8_Limbic_aperiodic_exponent_median,15.466736793518066,439.7554931640625,324.0
net8_Temporal_Parietal_alpha_peak_cf_p5,15.214838027954102,774.8931274414062,420.0
global_aperiodic_exponent_median,14.335928916931152,917.9592895507812,338.0
net8_Dorsal_Attention_aperiodic_exponent_p95,14.327346801757812,510.3428039550781,295.0
net8_Default_Mode_alpha_peak_cf_median,13.900544166564941,752.5014038085938,260.0
net8_Default_Mode_aperiodic_exponent_median,13.85677719116211,1278.302978515625,408.0
net8_Dorsal_Attention_aperiodic_exponent_median,13.718228340148926,969.673828125,486.0
net8_Visual_alpha_peak_cf_p95,13.358695983886719,1021.6611938476562,500.0
net8_Somatomotor_alpha_peak_cf_p5,12.80496597290039,584.8743896484375,405.0
global_alpha_peak_cf_p95,12.637957572937012,460.7406311035156,212.0
net8_Dorsal_Attention_alpha_peak_cf_median,12.116504669189453,579.3479614257812,239.0
net8_Temporal_Parietal_aperiodic_exponent_p5,12.09500789642334,1022.7372436523438,483.0
net8_Dorsal_Attention_alpha_peak_cf_p95,12.091650009155273,544.611328125,343.0
net8_Executive_Control_aperiodic_exponent_median,12.014751434326172,825.756591796875,252.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,11.90806770324707,446.6386413574219,331.0
net8_Default_Mode_alpha_peak_cf_p95,11.389616012573242,400.78192138671875,326.0
net8_Visual_aperiodic_exponent_p95,11.275527954101562,597.4402465820312,321.0
net8_Somatomotor_aperiodic_exponent_p95,11.218008995056152,632.2974853515625,329.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,11.16980266571045,665.0634155273438,359.0
net8_Visual_aperiodic_exponent_median,10.975522994995117,547.7682495117188,379.0
net8_Somatomotor_alpha_peak_cf_median,10.9004487991333,420.6600646972656,287.0
net8_Executive_Control_alpha_peak_cf_median,10.74869441986084,419.1344299316406,164.0
net8_Somatomotor_alpha_peak_cf_p95,10.603910446166992,466.4024353027344,291.0
net8_Executive_Control_alpha_peak_cf_p95,10.49714183807373,364.2715148925781,266.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,10.489965438842773,299.89654541015625,286.0
net8_Temporal_Parietal_aperiodic_exponent_median,10.402769088745117,485.1364440917969,287.0
net8_Limbic_alpha_peak_cf_p95,10.024003982543945,380.67578125,367.0
net8_Temporal_Parietal_alpha_peak_cf_p95,9.463970184326172,354.2746887207031,386.0
