feature,mean_abs_shap
net8_Default_Mode_n,0.04838597723278644
global_aperiodic_exponent_p95,0.04413439470395908
net8_Limbic_aperiodic_exponent_p95,0.03647623167832581
net8_Default_Mode_aperiodic_exponent_p95,0.03541409345092783
global_alpha_peak_bw_median,0.030956511372681562
net8_Executive_Control_alpha_peak_bw_median,0.027361379184283875
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,0.02659712826881076
net8_Default_Mode_aperiodic_exponent_median,0.025848810236748045
net8_Temporal_Parietal_aperiodic_exponent_p95,0.02565101046551313
global_aperiodic_exponent_median,0.019843309730311294
net8_Dorsal_Attention_aperiodic_exponent_median,0.01965413941537687
net8_Limbic_alpha_peak_cf_median,0.019426502604211457
net8_Visual_alpha_peak_cf_p95,0.015012469629651687
net8_Temporal_Parietal_aperiodic_exponent_p5,0.013674809890631865
net8_Limbic_alpha_peak_cf_p5,0.012678278238194939
net8_Temporal_Parietal_alpha_peak_cf_median,0.011880456876058203
net8_Visual_alpha_peak_cf_median,0.01130275764521738
net8_Executive_Control_aperiodic_exponent_median,0.01127308643668884
net8_Visual_aperiodic_exponent_median,0.008653347105820943
net8_Dorsal_Attention_aperiodic_exponent_p95,0.008527263510175064
net8_Somatomotor_alpha_peak_cf_p5,0.008069082921095138
net8_Visual_aperiodic_exponent_p95,0.007731988719915559
net8_Temporal_Parietal_alpha_peak_cf_p5,0.007540167886010396
net8_Default_Mode_alpha_peak_cf_median,0.00725336876636912
global_alpha_peak_cf_median,0.006151654907869162
net8_Somatomotor_aperiodic_exponent_p95,0.005975132675374799
global_alpha_peak_cf_p5,0.005774182742672788
net8_Dorsal_Attention_alpha_peak_cf_p95,0.005697498123832871
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,0.005431056851643184
net8_Somatomotor_alpha_peak_cf_p95,0.005029755342123442
net8_Salience_Ventral_Attention_alpha_peak_cf_median,0.004704272804168521
net8_Executive_Control_aperiodic_exponent_p95,0.004532839308380576
net8_Dorsal_Attention_alpha_peak_cf_median,0.003684316477491834
net8_Temporal_Parietal_aperiodic_exponent_median,0.0035770067418296986
net8_Limbic_aperiodic_exponent_median,0.003285912187283127
net8_Somatomotor_alpha_peak_cf_median,0.003084234770214618
net8_Limbic_alpha_peak_cf_p95,0.0029672436790340755
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,0.0028412636620593966
net8_Default_Mode_alpha_peak_cf_p95,0.00283476537640158
net8_Temporal_Parietal_alpha_peak_cf_p95,0.002762699571023474
global_alpha_peak_cf_p95,0.0024061088382420076
net8_Executive_Control_alpha_peak_cf_p95,0.0019349763531113868
net8_Executive_Control_alpha_peak_cf_median,0.0013531496245068142
