feature,gain,cover,weight
global_aperiodic_exponent_p95,236.64208984375,4934.619140625,83.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,132.34739685058594,2720.96435546875,66.0
net8_Limbic_alpha_peak_bw_p95,74.51007080078125,2489.19970703125,132.0
net8_Limbic_aperiodic_exponent_median,64.25016021728516,2236.209716796875,84.0
net8_Default_Mode_n,54.852943420410156,2064.763671875,19.0
net8_Temporal_Parietal_alpha_peak_cf_median,54.808921813964844,2691.9189453125,53.0
n_total,51.481712341308594,2105.356689453125,43.0
global_alpha_peak_cf_median,50.58302688598633,2276.0478515625,27.0
net8_Visual_alpha_peak_pw_median,49.99837875366211,1883.7760009765625,34.0
net8_Executive_Control_alpha_peak_cf_median,48.59197235107422,1393.533203125,35.0
net8_Temporal_Parietal_aperiodic_exponent_p5,47.268402099609375,1606.208984375,51.0
net8_Salience_Ventral_Attention_alpha_peak_pw_p95,46.68862533569336,2159.7978515625,53.0
net8_Salience_Ventral_Attention_alpha_peak_pw_median,46.526206970214844,2259.167724609375,57.0
net8_Visual_alpha_peak_pw_p5,46.09192657470703,1172.2928466796875,66.0
net8_Default_Mode_alpha_peak_pw_p95,45.50457763671875,3087.86181640625,28.0
net8_Temporal_Parietal_alpha_peak_pw_median,45.14152908325195,1789.997802734375,43.0
net8_Somatomotor_alpha_peak_cf_median,44.876380920410156,2338.067138671875,46.0
net8_Executive_Control_alpha_peak_pw_p95,44.85594177246094,1239.004638671875,32.0
net8_Default_Mode_alpha_peak_cf_p95,44.68572235107422,2285.62744140625,34.0
net8_Dorsal_Attention_alpha_peak_pw_median,43.70779800415039,2579.079833984375,40.0
net8_Default_Mode_alpha_peak_pw_median,43.678585052490234,977.8192138671875,35.0
net8_Somatomotor_aperiodic_exponent_p5,43.64250946044922,2205.33935546875,49.0
net8_Dorsal_Attention_alpha_peak_cf_p95,43.55365753173828,2061.063232421875,45.0
net8_Temporal_Parietal_alpha_peak_pw_p95,43.2552604675293,1901.333984375,67.0
net8_Limbic_alpha_peak_cf_median,43.25266647338867,1667.4747314453125,56.0
global_aperiodic_exponent_p5,43.124122619628906,1810.715576171875,28.0
net8_Dorsal_Attention_aperiodic_exponent_p5,42.84758377075195,2074.5859375,39.0
net8_Salience_Ventral_Attention_n,42.45737838745117,1613.5345458984375,18.0
net8_Dorsal_Attention_alpha_peak_pw_p95,42.19582748413086,1346.976318359375,32.0
net8_Limbic_alpha_peak_cf_p95,41.83822250366211,877.4241333007812,37.0
net8_Dorsal_Attention_alpha_peak_cf_median,41.659523010253906,1868.0093994140625,50.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,41.59803009033203,1106.757080078125,44.0
net8_Default_Mode_aperiodic_exponent_p5,41.49097442626953,2018.9410400390625,49.0
global_alpha_peak_pw_p95,40.88688659667969,1527.38037109375,19.0
net8_Somatomotor_alpha_peak_cf_p95,40.78549575805664,1682.22265625,35.0
global_aperiodic_exponent_median,40.15347671508789,1736.2098388671875,45.0
net8_Executive_Control_aperiodic_exponent_median,40.09161376953125,1193.8970947265625,35.0
global_alpha_peak_pw_median,40.04750442504883,1955.9227294921875,13.0
net8_Somatomotor_alpha_peak_pw_p5,39.849884033203125,1864.6817626953125,45.0
net8_Executive_Control_alpha_peak_cf_p95,39.72637176513672,1434.3106689453125,40.0
net8_Default_Mode_alpha_peak_cf_median,39.712459564208984,2317.964599609375,33.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,39.57008361816406,1737.468994140625,36.0
net8_Visual_alpha_peak_cf_p95,39.42919158935547,2307.57080078125,71.0
net8_Dorsal_Attention_alpha_peak_pw_p5,38.9849739074707,1524.16650390625,48.0
net8_Visual_alpha_peak_pw_p95,38.89004135131836,1643.6312255859375,46.0
net8_Somatomotor_alpha_peak_pw_median,38.83868408203125,1802.2041015625,38.0
net8_Temporal_Parietal_aperiodic_exponent_median,37.5394401550293,1622.7303466796875,66.0
net8_Executive_Control_alpha_peak_pw_median,36.801700592041016,2167.16015625,32.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,36.51557922363281,1369.6134033203125,29.0
net8_Temporal_Parietal_alpha_peak_cf_p95,36.477474212646484,1624.14111328125,47.0
global_alpha_peak_cf_p95,35.97480392456055,2568.064208984375,28.0
net8_Executive_Control_n,35.14118576049805,2003.7147216796875,15.0
net8_Limbic_n,34.65346145629883,1452.0433349609375,12.0
