feature,mean_abs_shap
global_aperiodic_exponent_p95,0.07629239804776249
net8_Limbic_alpha_peak_bw_p95,0.03860812040442299
net8_Limbic_aperiodic_exponent_median,0.03257346215821723
net8_Salience_Ventral_Attention_aperiodic_exponent_median,0.024655525977997816
net8_Temporal_Parietal_alpha_peak_cf_median,0.01955116629946711
n_total,0.017146672859832682
net8_Default_Mode_aperiodic_exponent_p5,0.01601665306494789
net8_Somatomotor_alpha_peak_cf_median,0.015806761156397422
net8_Temporal_Parietal_alpha_peak_pw_median,0.013080504720503962
net8_Default_Mode_alpha_peak_pw_p95,0.012957958142542261
net8_Salience_Ventral_Attention_alpha_peak_pw_median,0.012797892325258268
net8_Visual_alpha_peak_cf_p95,0.01232748515487979
net8_Limbic_alpha_peak_cf_median,0.012183019358414829
net8_Somatomotor_aperiodic_exponent_p5,0.011616484572420776
net8_Temporal_Parietal_aperiodic_exponent_median,0.010979569941877895
net8_Executive_Control_alpha_peak_pw_p95,0.010628133051926366
net8_Somatomotor_alpha_peak_pw_p5,0.010594896325131803
global_aperiodic_exponent_median,0.0099839726672295
net8_Visual_alpha_peak_pw_p95,0.009337997827860654
net8_Temporal_Parietal_alpha_peak_pw_p95,0.009313895258562122
net8_Dorsal_Attention_alpha_peak_pw_median,0.009204064558658041
net8_Dorsal_Attention_alpha_peak_pw_p5,0.008930586590595558
net8_Default_Mode_n,0.008612426281714498
global_aperiodic_exponent_p5,0.0085082115558191
net8_Dorsal_Attention_aperiodic_exponent_p5,0.008458563833537163
net8_Somatomotor_alpha_peak_cf_p95,0.008167720475363417
net8_Somatomotor_alpha_peak_pw_median,0.00791587371495594
net8_Temporal_Parietal_aperiodic_exponent_p5,0.007706050036047576
net8_Dorsal_Attention_alpha_peak_cf_p95,0.007484400411522543
net8_Dorsal_Attention_alpha_peak_cf_median,0.007352800040615659
net8_Default_Mode_alpha_peak_cf_p95,0.007268411514789887
net8_Visual_alpha_peak_pw_p5,0.007212929840667304
net8_Salience_Ventral_Attention_alpha_peak_pw_p95,0.00698541052277367
net8_Default_Mode_alpha_peak_cf_median,0.006365682696643998
net8_Temporal_Parietal_alpha_peak_cf_p95,0.006111343617799447
global_alpha_peak_cf_p95,0.006108714303463404
global_alpha_peak_cf_median,0.005838784999186062
net8_Executive_Control_aperiodic_exponent_median,0.005833363861772659
net8_Executive_Control_alpha_peak_pw_median,0.005769881655117825
net8_Dorsal_Attention_alpha_peak_pw_p95,0.005751902948035459
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,0.005735359143740984
net8_Executive_Control_alpha_peak_cf_median,0.005327927970487699
net8_Visual_alpha_peak_pw_median,0.005135591678417532
net8_Limbic_alpha_peak_cf_p95,0.004956381756852971
global_alpha_peak_pw_p95,0.004953428001740027
net8_Limbic_n,0.004177325378038549
net8_Executive_Control_alpha_peak_cf_p95,0.00416032064454376
net8_Salience_Ventral_Attention_alpha_peak_cf_median,0.003955264729743583
net8_Default_Mode_alpha_peak_pw_median,0.003938661653753656
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,0.00360355339779505
net8_Executive_Control_n,0.0035692881093940232
global_alpha_peak_pw_median,0.0033012348521796867
net8_Salience_Ventral_Attention_n,0.0031159890938432886
