feature,gain,cover,weight
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,61.5721549987793,1774.8582763671875,96.0
net8_Limbic_alpha_peak_cf_median,54.53398513793945,1990.9573974609375,95.0
net8_Temporal_Parietal_alpha_peak_cf_median,48.531314849853516,1907.200439453125,69.0
net8_Limbic_alpha_peak_cf_p5,43.51259994506836,1556.9727783203125,80.0
net8_Somatomotor_alpha_peak_bw_p95,29.847614288330078,2055.113525390625,88.0
net8_Visual_alpha_peak_pw_p95,28.118301391601562,1170.9200439453125,62.0
net8_Temporal_Parietal_aperiodic_exponent_median,27.769168853759766,1284.3514404296875,154.0
net8_Limbic_n,27.557270050048828,1127.9593505859375,29.0
net8_Limbic_alpha_peak_bw_p95,26.12225914001465,914.0787353515625,89.0
net8_Dorsal_Attention_alpha_peak_pw_p95,26.03508949279785,793.7449340820312,37.0
net8_Visual_alpha_peak_cf_p95,25.86943817138672,1183.5203857421875,86.0
global_alpha_peak_cf_median,25.765737533569336,859.2899169921875,21.0
net8_Visual_alpha_peak_pw_median,25.6385440826416,633.1807250976562,66.0
net8_Default_Mode_n,25.07465934753418,908.0465087890625,58.0
net8_Executive_Control_alpha_peak_pw_p95,24.78518295288086,1250.411376953125,32.0
global_alpha_peak_pw_IQR,24.420068740844727,977.3721313476562,65.0
net8_Default_Mode_alpha_peak_pw_p95,24.076732635498047,602.3853149414062,45.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,22.644573211669922,759.1358032226562,35.0
net8_Salience_Ventral_Attention_n,22.186464309692383,756.9700317382812,30.0
global_alpha_peak_pw_median,21.82649803161621,710.6591186523438,38.0
net8_Visual_alpha_peak_pw_p5,21.58735466003418,629.1737670898438,56.0
net8_Limbic_alpha_peak_cf_p95,21.450143814086914,632.7156982421875,71.0
net8_Somatomotor_alpha_peak_pw_p95,21.43597412109375,822.7700805664062,58.0
net8_Default_Mode_alpha_peak_cf_median,21.392824172973633,420.6728820800781,33.0
net8_Temporal_Parietal_alpha_peak_cf_p95,21.35120391845703,500.2602844238281,46.0
global_alpha_peak_pw_p95,21.24468231201172,407.3094177246094,34.0
net8_Visual_alpha_peak_cf_median,20.93391227722168,848.1408081054688,70.0
net8_Salience_Ventral_Attention_alpha_peak_pw_p95,20.64240264892578,511.3822326660156,62.0
net8_Somatomotor_alpha_peak_pw_p5,20.250696182250977,526.429443359375,60.0
net8_Dorsal_Attention_alpha_peak_pw_p5,19.78641128540039,489.89434814453125,46.0
net8_Temporal_Parietal_alpha_peak_pw_p95,19.760486602783203,723.8883666992188,53.0
net8_Dorsal_Attention_alpha_peak_cf_median,19.70242691040039,853.1079711914062,39.0
net8_Dorsal_Attention_alpha_peak_cf_p95,19.62175178527832,562.8184204101562,38.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,19.548633575439453,710.7940063476562,40.0
net8_Executive_Control_alpha_peak_cf_p95,19.422056198120117,470.03704833984375,37.0
net8_Dorsal_Attention_alpha_peak_pw_median,19.094572067260742,285.79827880859375,33.0
net8_Somatomotor_alpha_peak_cf_p95,19.0281982421875,678.6979370117188,57.0
net8_Default_Mode_alpha_peak_cf_p95,18.573902130126953,619.5543823242188,39.0
global_alpha_peak_cf_p95,18.514629364013672,379.2239074707031,38.0
net8_Executive_Control_alpha_peak_cf_median,18.478181838989258,394.6191101074219,29.0
net8_Somatomotor_alpha_peak_cf_median,18.069469451904297,525.5219116210938,47.0
