feature,gain,cover,weight
global_aperiodic_exponent_p95,234.09136962890625,2645.977294921875,61.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,228.7149658203125,2546.321044921875,92.0
net8_Somatomotor_aperiodic_exponent_p95,165.0508575439453,2929.70361328125,128.0
net8_Default_Mode_aperiodic_exponent_p95,163.44744873046875,2129.836669921875,80.0
net8_Visual_alpha_peak_bw_p95,81.73749542236328,1976.1912841796875,141.0
global_alpha_peak_bw_median,76.2475814819336,1383.074951171875,85.0
net8_Executive_Control_aperiodic_exponent_p95,76.19457244873047,1717.5125732421875,81.0
net8_Salience_Ventral_Attention_alpha_peak_bw_median,74.48665618896484,1416.89599609375,110.0
net8_Limbic_alpha_peak_bw_median,63.61588668823242,1467.291015625,132.0
net8_Dorsal_Attention_alpha_peak_bw_median,62.09539794921875,1832.097900390625,97.0
global_alpha_peak_bw_p95,62.002105712890625,953.8427124023438,97.0
global_aperiodic_offset_median,61.765132904052734,1350.5616455078125,121.0
net8_Visual_aperiodic_exponent_p95,61.23403549194336,1890.7158203125,107.0
net8_Temporal_Parietal_alpha_peak_bw_median,60.5105094909668,1734.788330078125,146.0
net8_Executive_Control_alpha_peak_bw_median,58.566978454589844,1108.52197265625,59.0
global_aperiodic_exponent_median,55.600528717041016,613.4758911132812,29.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,54.88236999511719,854.7273559570312,61.0
net8_Dorsal_Attention_aperiodic_offset_median,54.83414840698242,1467.9564208984375,106.0
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,53.6530647277832,1152.5679931640625,109.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,53.06071853637695,674.3590698242188,41.0
global_alpha_peak_cf_p95,52.933937072753906,1397.6781005859375,162.0
net8_Executive_Control_aperiodic_exponent_median,52.394622802734375,1157.6153564453125,43.0
net8_Dorsal_Attention_alpha_peak_bw_p95,52.38197708129883,1280.450439453125,105.0
net8_Dorsal_Attention_aperiodic_exponent_p95,52.08381271362305,995.452392578125,58.0
net8_Default_Mode_aperiodic_exponent_median,51.889381408691406,1298.1322021484375,82.0
net8_Default_Mode_alpha_peak_bw_p95,51.67306900024414,1403.43505859375,104.0
net8_Executive_Control_aperiodic_exponent_p5,50.42800521850586,777.9293823242188,69.0
net8_Default_Mode_alpha_peak_bw_median,50.41300964355469,730.6769409179688,84.0
net8_Dorsal_Attention_aperiodic_exponent_median,50.29610824584961,1696.797607421875,56.0
net8_Somatomotor_aperiodic_exponent_median,50.15643310546875,1709.63232421875,75.0
net8_Executive_Control_aperiodic_offset_median,49.77134323120117,1177.15283203125,93.0
net8_Somatomotor_aperiodic_exponent_p5,49.569183349609375,1393.523193359375,92.0
net8_Dorsal_Attention_aperiodic_exponent_p5,49.53817367553711,1461.97412109375,71.0
global_alpha_peak_bw_p5,49.482574462890625,2107.455810546875,126.0
net8_Temporal_Parietal_aperiodic_exponent_p5,49.14332962036133,932.8413696289062,93.0
net8_Temporal_Parietal_aperiodic_exponent_p95,48.5964469909668,1073.70556640625,101.0
net8_Visual_aperiodic_offset_p95,47.97431564331055,1223.9794921875,90.0
net8_Visual_aperiodic_exponent_median,47.90739059448242,1219.0540771484375,89.0
net8_Default_Mode_aperiodic_exponent_p5,47.7172966003418,1155.691162109375,42.0
net8_Limbic_aperiodic_exponent_p5,46.85187911987305,573.2461547851562,107.0
net8_Visual_aperiodic_offset_p5,46.27288055419922,965.4186401367188,118.0
net8_Temporal_Parietal_alpha_peak_bw_p95,46.17854690551758,863.590087890625,126.0
net8_Visual_alpha_peak_cf_p95,46.08469009399414,921.7306518554688,147.0
net8_Somatomotor_alpha_peak_bw_p95,45.52145004272461,1314.01806640625,113.0
global_aperiodic_exponent_p5,44.98231506347656,538.4564208984375,50.0
net8_Executive_Control_alpha_peak_bw_p95,44.940223693847656,1083.7861328125,100.0
net8_Limbic_alpha_peak_bw_p95,44.67613983154297,1170.0159912109375,175.0
net8_Visual_aperiodic_offset_median,43.3289909362793,1199.320068359375,103.0
net8_Limbic_aperiodic_exponent_median,43.09743118286133,930.8021240234375,97.0
net8_Limbic_aperiodic_exponent_p95,42.38371276855469,949.3837280273438,104.0
net8_Temporal_Parietal_aperiodic_exponent_median,40.023338317871094,477.6004333496094,86.0
