feature,mean_abs_shap
net8_Somatomotor_aperiodic_exponent_p95,0.04171848648640213
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,0.031323715948027346
net8_Visual_alpha_peak_bw_p95,0.023542151794843157
net8_Visual_aperiodic_exponent_p95,0.0195622895432542
net8_Default_Mode_aperiodic_exponent_median,0.01700888732575349
net8_Default_Mode_aperiodic_exponent_p95,0.0157930505701712
global_aperiodic_exponent_p95,0.01493934584854262
net8_Dorsal_Attention_aperiodic_offset_median,0.014800120667349615
net8_Executive_Control_aperiodic_exponent_p95,0.013019607671173843
global_alpha_peak_cf_p95,0.01287110768124174
net8_Limbic_alpha_peak_bw_p95,0.012481459796976405
global_aperiodic_offset_median,0.011628964794870725
net8_Temporal_Parietal_alpha_peak_bw_median,0.010907944411878338
net8_Dorsal_Attention_aperiodic_exponent_median,0.009944338350038332
net8_Dorsal_Attention_alpha_peak_bw_median,0.009417994179538093
net8_Somatomotor_alpha_peak_bw_p95,0.008633687484639628
net8_Dorsal_Attention_alpha_peak_bw_p95,0.008202007948110412
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,0.00819830044702358
net8_Temporal_Parietal_aperiodic_exponent_p95,0.008141531837837635
net8_Visual_alpha_peak_cf_p95,0.007473383787960634
net8_Default_Mode_alpha_peak_bw_p95,0.007157073231560411
net8_Somatomotor_aperiodic_exponent_median,0.006560844243931191
net8_Limbic_aperiodic_exponent_p95,0.006449799140867069
net8_Salience_Ventral_Attention_alpha_peak_bw_median,0.006279718622560166
net8_Limbic_alpha_peak_bw_median,0.0061089681599356665
global_alpha_peak_bw_p95,0.006026316363921886
net8_Visual_aperiodic_offset_p5,0.00593404565804316
global_alpha_peak_bw_p5,0.005581583453716475
net8_Dorsal_Attention_aperiodic_exponent_p95,0.005561752648972463
net8_Limbic_aperiodic_exponent_median,0.005514628702789185
net8_Dorsal_Attention_aperiodic_exponent_p5,0.00545779837249058
net8_Somatomotor_aperiodic_exponent_p5,0.005365429387343808
net8_Executive_Control_aperiodic_offset_median,0.005085965464776749
global_alpha_peak_bw_median,0.005054586239659086
net8_Temporal_Parietal_aperiodic_exponent_p5,0.004986752319315863
net8_Executive_Control_aperiodic_exponent_p5,0.004817775301970341
net8_Executive_Control_aperiodic_exponent_median,0.004383908433990517
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,0.004326325566032013
net8_Visual_aperiodic_offset_p95,0.0042868661851036965
net8_Limbic_aperiodic_exponent_p5,0.0042579169425748485
net8_Executive_Control_alpha_peak_bw_p95,0.004241184191294004
net8_Temporal_Parietal_alpha_peak_bw_p95,0.004163978998274571
net8_Visual_aperiodic_exponent_median,0.003930751238216655
net8_Visual_aperiodic_offset_median,0.003850233393878311
net8_Default_Mode_aperiodic_exponent_p5,0.0038051573036849457
net8_Default_Mode_alpha_peak_bw_median,0.003275129344036469
net8_Executive_Control_alpha_peak_bw_median,0.0029719317052309324
net8_Salience_Ventral_Attention_aperiodic_exponent_median,0.0028235447203331294
net8_Temporal_Parietal_aperiodic_exponent_median,0.002730308925870829
global_aperiodic_exponent_p5,0.0022340570844784123
global_aperiodic_exponent_median,0.0016648212040008797
