feature,gain,cover,weight
global_alpha_peak_pw_p95,257.8002624511719,2920.703125,155.0
net8_Executive_Control_alpha_peak_pw_p95,113.93708038330078,1574.084716796875,119.0
net8_Default_Mode_aperiodic_exponent_p95,86.53490447998047,2207.6123046875,151.0
global_aperiodic_exponent_p95,81.18148803710938,1935.974365234375,135.0
net8_Temporal_Parietal_alpha_peak_cf_median,77.50337219238281,1481.4044189453125,141.0
global_alpha_peak_cf_median,55.823570251464844,810.0386962890625,70.0
net8_Dorsal_Attention_aperiodic_exponent_p95,43.549983978271484,964.8162841796875,114.0
net8_Visual_alpha_peak_cf_median,41.56346130371094,1262.958740234375,157.0
net8_Limbic_alpha_peak_cf_median,39.91080093383789,1181.426025390625,179.0
global_aperiodic_offset_p95,35.98573303222656,1026.549560546875,66.0
net8_Visual_aperiodic_exponent_p95,34.982810974121094,1165.4283447265625,171.0
net8_Limbic_aperiodic_exponent_p95,33.72511291503906,896.4088134765625,144.0
net8_Limbic_alpha_peak_cf_p95,33.50066375732422,1098.8629150390625,131.0
net8_Default_Mode_alpha_peak_bw_p95,30.65668296813965,1229.0111083984375,250.0
net8_Salience_Ventral_Attention_aperiodic_offset_median,29.821956634521484,1127.1944580078125,68.0
net8_Visual_alpha_peak_cf_p95,29.13125991821289,684.8677978515625,172.0
net8_Dorsal_Attention_alpha_peak_pw_p5,28.6639347076416,1376.8966064453125,173.0
net8_Dorsal_Attention_alpha_peak_pw_median,28.43311882019043,1451.2723388671875,121.0
net8_Temporal_Parietal_alpha_peak_cf_p95,28.0010986328125,860.1929931640625,141.0
net8_Default_Mode_aperiodic_offset_median,27.871431350708008,796.942626953125,54.0
net8_Limbic_alpha_peak_bw_p95,27.6951847076416,891.3668212890625,254.0
global_alpha_peak_pw_median,27.52949333190918,523.7613525390625,99.0
net8_Dorsal_Attention_alpha_peak_cf_p95,25.974929809570312,592.0155639648438,103.0
net8_Dorsal_Attention_alpha_peak_cf_median,25.633934020996094,1436.656005859375,111.0
net8_Default_Mode_aperiodic_offset_p5,25.30579376220703,724.6683349609375,86.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,24.80031394958496,700.793212890625,85.0
net8_Executive_Control_aperiodic_offset_p95,24.669681549072266,534.8682250976562,61.0
global_aperiodic_offset_p5,24.4349365234375,932.1295166015625,62.0
net8_Visual_aperiodic_offset_p95,24.352014541625977,1059.6976318359375,129.0
global_aperiodic_exponent_p5,23.966033935546875,1966.722900390625,75.0
net8_Default_Mode_alpha_peak_cf_median,23.86201286315918,642.9835815429688,79.0
net8_Executive_Control_aperiodic_offset_median,23.534292221069336,1163.3111572265625,30.0
net8_Visual_aperiodic_offset_median,23.254331588745117,744.662109375,107.0
net8_Executive_Control_aperiodic_exponent_p5,23.20561981201172,1033.4266357421875,95.0
net8_Salience_Ventral_Attention_aperiodic_offset_p95,23.117210388183594,835.6834716796875,105.0
net8_Dorsal_Attention_aperiodic_offset_p95,23.088260650634766,849.587646484375,78.0
net8_Default_Mode_aperiodic_exponent_median,22.918148040771484,945.6727905273438,61.0
net8_Dorsal_Attention_aperiodic_offset_median,22.823211669921875,552.9564819335938,45.0
net8_Somatomotor_aperiodic_offset_median,22.726661682128906,575.0537109375,67.0
net8_Salience_Ventral_Attention_aperiodic_offset_p5,22.427101135253906,559.858642578125,75.0
net8_Limbic_aperiodic_exponent_median,21.91241455078125,702.15966796875,116.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,21.130081176757812,345.5398864746094,76.0
net8_Temporal_Parietal_aperiodic_exponent_p95,21.074094772338867,890.44384765625,129.0
net8_Temporal_Parietal_aperiodic_offset_median,21.03081512451172,1096.581298828125,110.0
net8_Limbic_aperiodic_offset_median,20.984914779663086,941.5223388671875,114.0
net8_Dorsal_Attention_aperiodic_exponent_p5,20.983659744262695,884.648193359375,97.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,20.980785369873047,757.0684814453125,68.0
global_alpha_peak_cf_p95,20.98001480102539,371.14739990234375,60.0
net8_Temporal_Parietal_aperiodic_exponent_p5,20.670534133911133,568.5899047851562,102.0
global_aperiodic_offset_median,20.422597885131836,745.987548828125,41.0
net8_Somatomotor_alpha_peak_cf_median,20.42026710510254,686.5631103515625,104.0
net8_Somatomotor_alpha_peak_pw_p5,20.272342681884766,539.179443359375,135.0
net8_Temporal_Parietal_aperiodic_offset_p95,20.203731536865234,862.6921997070312,112.0
net8_Temporal_Parietal_aperiodic_exponent_median,20.080549240112305,664.4669799804688,92.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,19.984874725341797,765.80810546875,112.0
net8_Default_Mode_alpha_peak_cf_p95,19.768814086914062,679.1886596679688,73.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,19.43224334716797,1108.4395751953125,107.0
net8_Executive_Control_alpha_peak_cf_p95,19.2772159576416,608.1328735351562,69.0
net8_Somatomotor_alpha_peak_cf_p95,18.62749481201172,532.540283203125,98.0
global_aperiodic_exponent_median,18.282394409179688,618.6668701171875,61.0
net8_Executive_Control_alpha_peak_cf_median,18.276941299438477,1150.2874755859375,63.0
net8_Executive_Control_alpha_peak_pw_median,17.970470428466797,1209.0587158203125,104.0
