feature,gain,cover,weight
global_aperiodic_exponent_p95,176.00233459472656,984.8727416992188,318.0
net8_Default_Mode_aperiodic_exponent_p95,61.68224334716797,568.7875366210938,354.0
net8_Temporal_Parietal_n,44.00275421142578,1037.829345703125,452.0
net8_Limbic_aperiodic_exponent_p95,28.823869705200195,690.4061279296875,676.0
net8_Limbic_alpha_peak_cf_median,25.12947654724121,487.8213195800781,447.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,22.39238929748535,567.6749267578125,351.0
net8_Visual_alpha_peak_pw_p95,22.20694923400879,618.92138671875,791.0
net8_Temporal_Parietal_alpha_peak_cf_median,16.580595016479492,267.8946533203125,400.0
net8_Default_Mode_alpha_peak_bw_p95,16.227933883666992,382.1426086425781,657.0
net8_Limbic_alpha_peak_cf_p5,15.795650482177734,334.96954345703125,419.0
net8_Temporal_Parietal_aperiodic_exponent_p95,14.085954666137695,505.0509338378906,630.0
net8_Temporal_Parietal_alpha_peak_cf_p5,13.494500160217285,336.28387451171875,484.0
net8_Executive_Control_alpha_peak_bw_median,13.449728012084961,375.3016662597656,492.0
global_alpha_peak_cf_median,13.417119979858398,243.91050720214844,122.0
global_alpha_peak_pw_p95,13.122052192687988,376.3812255859375,473.0
net8_Salience_Ventral_Attention_alpha_peak_bw_median,12.835084915161133,427.15802001953125,667.0
global_alpha_peak_bw_median,12.497800827026367,297.49249267578125,481.0
net8_Default_Mode_alpha_peak_cf_median,11.755425453186035,353.41400146484375,261.0
net8_Visual_alpha_peak_cf_median,11.309843063354492,251.1450653076172,407.0
global_aperiodic_exponent_p5,10.841551780700684,288.4844970703125,303.0
net8_Dorsal_Attention_aperiodic_exponent_p95,10.621644020080566,243.70474243164062,286.0
net8_Default_Mode_aperiodic_exponent_median,10.087764739990234,433.62872314453125,276.0
net8_Somatomotor_aperiodic_exponent_p5,9.960427284240723,327.302001953125,384.0
net8_Executive_Control_aperiodic_exponent_p5,9.940512657165527,234.2460479736328,358.0
global_alpha_peak_cf_p5,9.910401344299316,288.62823486328125,266.0
global_aperiodic_exponent_median,9.804636001586914,276.2689208984375,135.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,9.74171257019043,264.9554138183594,270.0
net8_Visual_alpha_peak_cf_p95,9.726981163024902,343.2016296386719,432.0
net8_Limbic_alpha_peak_bw_p95,9.706789016723633,245.84783935546875,503.0
net8_Somatomotor_aperiodic_exponent_p95,9.663207054138184,220.7378387451172,291.0
net8_Dorsal_Attention_aperiodic_exponent_p5,9.274543762207031,180.36834716796875,288.0
net8_Executive_Control_aperiodic_exponent_p95,9.076371192932129,238.05442810058594,223.0
net8_Somatomotor_aperiodic_exponent_median,9.047845840454102,292.2283020019531,225.0
net8_Executive_Control_alpha_peak_cf_median,8.711026191711426,146.8597869873047,188.0
net8_Dorsal_Attention_aperiodic_exponent_median,8.65408706665039,279.5380554199219,207.0
net8_Temporal_Parietal_alpha_peak_cf_p95,8.570245742797852,223.58750915527344,319.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,8.527827262878418,189.5650634765625,275.0
net8_Executive_Control_aperiodic_exponent_median,8.525248527526855,169.46243286132812,186.0
net8_Dorsal_Attention_alpha_peak_cf_median,8.369963645935059,177.4823760986328,209.0
net8_Dorsal_Attention_alpha_peak_cf_p5,8.305695533752441,355.26513671875,367.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,8.187728881835938,174.8258056640625,200.0
net8_Temporal_Parietal_aperiodic_exponent_p5,7.913084030151367,188.3141326904297,287.0
net8_Visual_aperiodic_exponent_p95,7.878635883331299,198.95167541503906,306.0
net8_Temporal_Parietal_aperiodic_exponent_median,7.767162322998047,166.77059936523438,215.0
net8_Limbic_alpha_peak_cf_p95,7.7598876953125,248.10400390625,342.0
net8_Limbic_aperiodic_exponent_median,7.5918684005737305,140.45645141601562,231.0
global_alpha_peak_cf_p95,7.576038360595703,209.72325134277344,225.0
net8_Somatomotor_alpha_peak_cf_median,7.451056957244873,197.053955078125,229.0
net8_Visual_aperiodic_exponent_median,7.432727813720703,158.9466552734375,294.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,7.403782844543457,146.64849853515625,342.0
net8_Dorsal_Attention_alpha_peak_cf_p95,7.265333652496338,252.7115936279297,236.0
net8_Somatomotor_alpha_peak_cf_p95,7.20796537399292,180.31088256835938,310.0
net8_Executive_Control_alpha_peak_cf_p95,7.193447113037109,194.72430419921875,210.0
net8_Default_Mode_alpha_peak_cf_p95,6.841320037841797,140.31932067871094,231.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,6.668704509735107,191.4489288330078,314.0
