feature,gain,cover,weight
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,422.2978820800781,3989.065185546875,69.0
net8_Temporal_Parietal_aperiodic_exponent_p95,174.32618713378906,2220.751708984375,58.0
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,111.13372039794922,2860.704833984375,71.0
net8_Limbic_aperiodic_exponent_p95,102.28095245361328,3530.5390625,73.0
net8_Temporal_Parietal_aperiodic_offset_p95,90.39573669433594,2907.521728515625,119.0
net8_Executive_Control_aperiodic_exponent_p95,82.66072082519531,2149.088623046875,16.0
net8_Dorsal_Attention_aperiodic_exponent_p95,81.75240325927734,2370.418212890625,30.0
global_aperiodic_exponent_p95,76.83795166015625,1446.1639404296875,28.0
net8_Temporal_Parietal_aperiodic_offset_IQR,74.5492935180664,3514.115234375,121.0
net8_Executive_Control_alpha_peak_bw_p95,71.71883392333984,1869.65185546875,65.0
net8_Default_Mode_alpha_peak_bw_p95,70.76238250732422,1575.20068359375,74.0
net8_Dorsal_Attention_alpha_peak_bw_p95,68.97181701660156,1695.1221923828125,47.0
net8_Dorsal_Attention_aperiodic_exponent_median,63.85846710205078,2684.8271484375,35.0
net8_Somatomotor_aperiodic_exponent_p95,62.28229904174805,1413.279541015625,33.0
net8_Limbic_alpha_peak_bw_p95,62.21498107910156,2730.825439453125,95.0
global_alpha_peak_cf_median,62.09970474243164,2111.7197265625,33.0
net8_Executive_Control_aperiodic_exponent_p5,61.92726135253906,1437.7579345703125,52.0
net8_Default_Mode_alpha_peak_cf_median,59.9798698425293,2985.939697265625,44.0
net8_Somatomotor_aperiodic_exponent_median,59.2571907043457,2345.73779296875,49.0
net8_Temporal_Parietal_aperiodic_exponent_median,57.73396301269531,1363.572265625,34.0
net8_Default_Mode_aperiodic_exponent_p5,57.47681427001953,1977.754638671875,32.0
net8_Somatomotor_alpha_peak_cf_median,57.38361358642578,510.25372314453125,40.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,56.60573196411133,1500.574951171875,33.0
global_aperiodic_exponent_p5,56.55805587768555,2768.6171875,23.0
net8_Dorsal_Attention_alpha_peak_cf_p95,56.02639389038086,1689.33349609375,61.0
net8_Limbic_alpha_peak_cf_p95,55.95663833618164,1164.884033203125,48.0
net8_Dorsal_Attention_alpha_peak_pw_median,55.818580627441406,1697.46240234375,61.0
global_aperiodic_exponent_median,55.236629486083984,1727.6549072265625,30.0
net8_Visual_alpha_peak_cf_p95,55.052879333496094,2050.71630859375,39.0
net8_Limbic_alpha_peak_cf_median,54.88575744628906,1947.1939697265625,60.0
net8_Dorsal_Attention_alpha_peak_cf_median,53.439388275146484,1124.5501708984375,36.0
global_alpha_peak_pw_median,53.01860046386719,1856.21142578125,68.0
net8_Limbic_aperiodic_exponent_median,52.096797943115234,1211.3997802734375,35.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,51.25067901611328,2338.031005859375,47.0
net8_Default_Mode_aperiodic_exponent_median,51.09375762939453,2651.650390625,34.0
net8_Temporal_Parietal_aperiodic_exponent_p5,50.17564010620117,1384.60986328125,45.0
net8_Executive_Control_alpha_peak_cf_median,49.88639450073242,2946.52978515625,26.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,49.755794525146484,2384.75927734375,25.0
net8_Temporal_Parietal_alpha_peak_cf_median,49.48016357421875,1296.0810546875,55.0
net8_Default_Mode_alpha_peak_cf_p95,48.98354721069336,1560.423583984375,46.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,48.701290130615234,2683.160888671875,56.0
net8_Somatomotor_alpha_peak_bw_p95,48.296295166015625,781.4482421875,67.0
net8_Temporal_Parietal_alpha_peak_cf_p95,47.51128387451172,1466.365966796875,34.0
net8_Visual_alpha_peak_cf_median,47.29927062988281,1649.70361328125,57.0
net8_Default_Mode_aperiodic_exponent_p95,45.38872528076172,1911.5440673828125,50.0
net8_Executive_Control_alpha_peak_cf_p95,44.84881591796875,865.1897583007812,21.0
global_alpha_peak_bw_p95,43.97480010986328,1945.256591796875,45.0
net8_Executive_Control_aperiodic_exponent_median,41.57978439331055,793.76708984375,28.0
global_alpha_peak_cf_p95,39.99955749511719,2234.730224609375,17.0
net8_Somatomotor_alpha_peak_cf_p95,37.52522277832031,1835.3558349609375,24.0
