feature,mean_abs_shap
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,0.05668809904832193
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,0.027960951398479303
net8_Limbic_aperiodic_exponent_p95,0.025837382738318655
net8_Temporal_Parietal_aperiodic_offset_p95,0.02578950030145754
net8_Temporal_Parietal_aperiodic_offset_IQR,0.023962997866299584
net8_Temporal_Parietal_aperiodic_exponent_p95,0.023035222076288574
net8_Limbic_alpha_peak_bw_p95,0.01834808419087568
net8_Somatomotor_aperiodic_exponent_median,0.016858783713609993
net8_Default_Mode_alpha_peak_bw_p95,0.015606804591956548
net8_Executive_Control_aperiodic_exponent_p5,0.012094891545885228
net8_Dorsal_Attention_aperiodic_exponent_median,0.011420827522374114
net8_Salience_Ventral_Attention_alpha_peak_cf_median,0.010489032206899354
net8_Limbic_alpha_peak_cf_median,0.009154782880569864
net8_Default_Mode_aperiodic_exponent_median,0.008832079617045605
net8_Executive_Control_alpha_peak_bw_p95,0.008800354590194882
global_alpha_peak_cf_median,0.008780165008574384
net8_Temporal_Parietal_aperiodic_exponent_median,0.008691739652933258
global_alpha_peak_pw_median,0.008570314279378306
net8_Dorsal_Attention_alpha_peak_pw_median,0.008519677707780964
net8_Somatomotor_aperiodic_exponent_p95,0.008407168034858942
net8_Dorsal_Attention_alpha_peak_cf_p95,0.008279984910773513
net8_Dorsal_Attention_alpha_peak_cf_median,0.007896698153749776
net8_Default_Mode_alpha_peak_cf_median,0.0078704934409523
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,0.0077855024498753875
global_aperiodic_exponent_p95,0.007717404875351168
net8_Executive_Control_alpha_peak_cf_median,0.006917671742120772
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,0.006892493066351865
global_aperiodic_exponent_p5,0.006776660838373347
net8_Default_Mode_aperiodic_exponent_p95,0.006540145751838484
net8_Somatomotor_alpha_peak_bw_p95,0.00623484387879045
net8_Dorsal_Attention_alpha_peak_bw_p95,0.006148535073160286
net8_Default_Mode_alpha_peak_cf_p95,0.0058102826449893666
net8_Dorsal_Attention_aperiodic_exponent_p95,0.005642014939957224
net8_Default_Mode_aperiodic_exponent_p5,0.005640759128997207
net8_Temporal_Parietal_aperiodic_exponent_p5,0.005613606482842975
net8_Limbic_alpha_peak_cf_p95,0.005527371652888397
net8_Temporal_Parietal_alpha_peak_cf_median,0.005272267140677622
net8_Salience_Ventral_Attention_aperiodic_exponent_median,0.005227313833256934
net8_Executive_Control_aperiodic_exponent_median,0.004923185994638204
net8_Executive_Control_aperiodic_exponent_p95,0.004749119229111453
net8_Visual_alpha_peak_cf_median,0.004292940450047186
net8_Somatomotor_alpha_peak_cf_median,0.0042342211787123355
net8_Visual_alpha_peak_cf_p95,0.004150887927517162
global_aperiodic_exponent_median,0.003948148778257575
global_alpha_peak_bw_p95,0.0038396993926564137
net8_Limbic_aperiodic_exponent_median,0.003468747589321201
global_alpha_peak_cf_p95,0.003439836847397675
net8_Somatomotor_alpha_peak_cf_p95,0.003289968411443594
net8_Temporal_Parietal_alpha_peak_cf_p95,0.0031027863981245465
net8_Executive_Control_alpha_peak_cf_p95,0.0030400796388135904
