feature,gain,cover,weight
net8_Limbic_alpha_peak_cf_median,92.05863952636719,1990.57080078125,105.0
net8_Temporal_Parietal_alpha_peak_cf_median,62.50309371948242,1798.4305419921875,137.0
global_alpha_peak_bw_p95,57.85723114013672,1681.15185546875,170.0
net8_Temporal_Parietal_aperiodic_offset_p95,52.593692779541016,2185.530517578125,284.0
net8_Limbic_n,52.47401809692383,1492.3712158203125,56.0
net8_Salience_Ventral_Attention_n,43.72975158691406,1175.2294921875,27.0
net8_Visual_alpha_peak_pw_p95,38.90174102783203,987.921142578125,120.0
global_alpha_peak_cf_median,38.62736129760742,1480.30810546875,35.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,34.2669563293457,1043.836669921875,74.0
net8_Default_Mode_alpha_peak_bw_p95,33.936256408691406,1318.3736572265625,124.0
net8_Limbic_alpha_peak_cf_p5,32.744895935058594,1345.024169921875,171.0
net8_Temporal_Parietal_aperiodic_exponent_median,29.942766189575195,1088.9443359375,290.0
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,29.42700958251953,1591.6422119140625,163.0
net8_Default_Mode_n,27.1550235748291,1888.4332275390625,101.0
net8_Visual_alpha_peak_cf_p95,26.23440933227539,1819.9345703125,140.0
net8_Visual_alpha_peak_pw_median,25.686939239501953,1342.4486083984375,134.0
net8_Visual_alpha_peak_cf_median,24.36311149597168,1378.6793212890625,131.0
net8_Limbic_alpha_peak_cf_p95,24.152450561523438,1014.1220703125,103.0
net8_Default_Mode_alpha_peak_pw_p95,23.02129554748535,1743.6751708984375,111.0
net8_Somatomotor_alpha_peak_pw_median,22.731884002685547,1318.0902099609375,105.0
global_alpha_peak_pw_median,22.322269439697266,857.497802734375,52.0
net8_Salience_Ventral_Attention_alpha_peak_pw_median,21.65450096130371,1903.158447265625,115.0
net8_Temporal_Parietal_alpha_peak_cf_p95,21.576391220092773,1427.3675537109375,96.0
net8_Dorsal_Attention_alpha_peak_cf_median,21.530433654785156,1157.3109130859375,50.0
net8_Visual_alpha_peak_pw_p5,21.3857421875,1236.6005859375,117.0
global_alpha_peak_pw_p95,21.314422607421875,919.9719848632812,70.0
global_alpha_peak_cf_p95,21.206321716308594,1226.6912841796875,55.0
net8_Dorsal_Attention_alpha_peak_pw_median,21.014915466308594,564.0392456054688,44.0
net8_Default_Mode_alpha_peak_pw_IQR,20.697818756103516,1285.1988525390625,89.0
net8_Default_Mode_alpha_peak_cf_p95,20.40087127685547,694.230224609375,52.0
net8_Somatomotor_alpha_peak_cf_median,20.104066848754883,524.36376953125,73.0
net8_Dorsal_Attention_alpha_peak_pw_p5,19.947832107543945,947.2853393554688,90.0
net8_Somatomotor_alpha_peak_cf_p95,19.570934295654297,803.4485473632812,90.0
net8_Executive_Control_alpha_peak_cf_median,19.533937454223633,477.00982666015625,31.0
net8_Executive_Control_alpha_peak_cf_p95,18.97858238220215,904.922607421875,57.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,18.83479118347168,1324.1865234375,83.0
net8_Executive_Control_alpha_peak_pw_median,18.2984561920166,782.0951538085938,44.0
net8_Somatomotor_alpha_peak_pw_p5,18.081218719482422,730.293701171875,86.0
net8_Dorsal_Attention_alpha_peak_cf_p95,16.702363967895508,1078.093994140625,68.0
net8_Default_Mode_alpha_peak_cf_median,15.320231437683105,1520.126220703125,39.0
