feature,mean_abs_shap
net8_Temporal_Parietal_aperiodic_offset_p95,0.047737652258339064
global_alpha_peak_bw_p95,0.029432504984446144
net8_Limbic_alpha_peak_cf_median,0.02713580619285052
net8_Temporal_Parietal_alpha_peak_cf_median,0.025612223599172163
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,0.02327106232135962
net8_Default_Mode_alpha_peak_bw_p95,0.01637279894330622
net8_Salience_Ventral_Attention_alpha_peak_pw_median,0.016258510869315432
net8_Visual_alpha_peak_pw_p95,0.01558741370395042
net8_Visual_alpha_peak_cf_p95,0.014166265268802637
net8_Temporal_Parietal_aperiodic_exponent_median,0.013728349651505885
net8_Default_Mode_n,0.013396760433470345
net8_Limbic_n,0.012635932177653188
net8_Limbic_alpha_peak_cf_p5,0.011574174293071133
net8_Somatomotor_alpha_peak_pw_median,0.010767249266192033
net8_Visual_alpha_peak_cf_median,0.01075197386248046
net8_Temporal_Parietal_alpha_peak_cf_p95,0.010307282656279866
net8_Salience_Ventral_Attention_alpha_peak_cf_median,0.010141310128407405
net8_Visual_alpha_peak_pw_median,0.00903191711782394
net8_Default_Mode_alpha_peak_pw_p95,0.00828771466804619
net8_Visual_alpha_peak_pw_p5,0.007907474864680622
net8_Somatomotor_alpha_peak_cf_p95,0.007849200397302159
net8_Limbic_alpha_peak_cf_p95,0.007533403547764604
net8_Default_Mode_alpha_peak_pw_IQR,0.006629814623971311
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,0.006365779464832153
net8_Dorsal_Attention_alpha_peak_cf_p95,0.006209777217413598
global_alpha_peak_cf_median,0.005117745267678231
net8_Executive_Control_alpha_peak_cf_p95,0.0048574918722899514
net8_Dorsal_Attention_alpha_peak_pw_p5,0.00448966031205649
global_alpha_peak_cf_p95,0.004422555275392513
global_alpha_peak_pw_p95,0.0036523563116214555
global_alpha_peak_pw_median,0.003524523493345198
net8_Dorsal_Attention_alpha_peak_cf_median,0.0031551062973534973
net8_Default_Mode_alpha_peak_cf_p95,0.0030405234164444317
net8_Default_Mode_alpha_peak_cf_median,0.0021995810547503557
net8_Executive_Control_alpha_peak_pw_median,0.0021657584772047625
net8_Somatomotor_alpha_peak_cf_median,0.0020841681586177725
net8_Salience_Ventral_Attention_n,0.001954524699265087
net8_Somatomotor_alpha_peak_pw_p5,0.001899443078569595
net8_Dorsal_Attention_alpha_peak_pw_median,0.0012928564203158908
net8_Executive_Control_alpha_peak_cf_median,0.0012189812563851872
