feature,gain,cover,weight
net8_Somatomotor_aperiodic_exponent_p95,560.7377319335938,5154.8125,22.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,420.2679138183594,3395.0810546875,19.0
net8_Default_Mode_aperiodic_exponent_p95,206.78709411621094,2736.413818359375,13.0
net8_Dorsal_Attention_aperiodic_exponent_p95,188.51219177246094,3729.456787109375,3.0
net8_Salience_Ventral_Attention_alpha_peak_bw_median,163.67250061035156,2349.077392578125,24.0
global_alpha_peak_bw_median,124.25914001464844,1559.9420166015625,13.0
global_aperiodic_exponent_p95,98.48363494873047,1759.303955078125,17.0
net8_Default_Mode_aperiodic_offset_p5,97.82295989990234,925.4791259765625,20.0
net8_Executive_Control_aperiodic_offset_median,96.85883331298828,1226.53076171875,2.0
net8_Dorsal_Attention_alpha_peak_bw_median,92.6417465209961,1598.1319580078125,38.0
global_aperiodic_offset_median,90.4395751953125,1116.1893310546875,12.0
net8_Default_Mode_aperiodic_offset_median,89.65228271484375,639.9742431640625,10.0
net8_Default_Mode_alpha_peak_bw_median,86.50119018554688,1596.4541015625,20.0
net8_Somatomotor_aperiodic_exponent_p5,85.5554428100586,1634.9337158203125,20.0
net8_Limbic_alpha_peak_bw_p95,84.74929809570312,1298.4033203125,36.0
global_alpha_peak_bw_p95,84.20464324951172,1506.55126953125,35.0
net8_Visual_aperiodic_offset_p95,83.21710968017578,866.7344970703125,13.0
net8_Dorsal_Attention_aperiodic_exponent_median,81.64259338378906,423.9361877441406,8.0
net8_Default_Mode_alpha_peak_pw_IQR,81.03044891357422,1168.402587890625,28.0
net8_Executive_Control_alpha_peak_cf_p95,80.99703979492188,1125.93994140625,18.0
global_aperiodic_exponent_p5,80.87373352050781,986.9840087890625,10.0
net8_Salience_Ventral_Attention_aperiodic_offset_median,79.19047546386719,1203.004150390625,15.0
net8_Somatomotor_aperiodic_offset_median,78.8360824584961,1187.8199462890625,23.0
net8_Executive_Control_aperiodic_offset_p5,75.71183013916016,398.9407653808594,8.0
global_alpha_peak_cf_p95,75.37742614746094,1431.8165283203125,21.0
net8_Default_Mode_aperiodic_exponent_median,75.08157348632812,1184.6851806640625,11.0
net8_Dorsal_Attention_aperiodic_offset_median,74.43090057373047,1234.515869140625,21.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,74.38407897949219,2443.621337890625,10.0
net8_Visual_aperiodic_exponent_p95,73.18115234375,1421.44921875,17.0
global_aperiodic_offset_p5,72.91999816894531,470.0454406738281,13.0
net8_Default_Mode_alpha_peak_bw_p95,70.76912689208984,1172.42138671875,24.0
net8_Limbic_alpha_peak_bw_median,70.29390716552734,785.3331909179688,40.0
net8_Limbic_aperiodic_exponent_median,69.83550262451172,1120.0584716796875,15.0
net8_Dorsal_Attention_aperiodic_exponent_p5,68.96379089355469,1545.7119140625,23.0
net8_Somatomotor_aperiodic_exponent_median,68.47013854980469,902.8696899414062,13.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,67.36181640625,245.75784301757812,10.0
global_aperiodic_exponent_median,66.85734558105469,93.43678283691406,2.0
net8_Default_Mode_alpha_peak_cf_p95,62.864601135253906,948.9613037109375,25.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,60.92509078979492,859.1906127929688,18.0
net8_Executive_Control_alpha_peak_bw_median,60.77069091796875,492.0096740722656,20.0
net8_Limbic_aperiodic_offset_p5,59.356014251708984,723.7452392578125,27.0
net8_Visual_aperiodic_exponent_median,58.86124038696289,1650.4508056640625,15.0
net8_Limbic_alpha_peak_cf_p95,58.35356521606445,890.7066650390625,31.0
global_alpha_peak_bw_p5,57.18483352661133,1462.5548095703125,26.0
net8_Visual_aperiodic_offset_median,56.996055603027344,740.635498046875,13.0
net8_Temporal_Parietal_aperiodic_exponent_p95,55.39091873168945,762.507568359375,17.0
net8_Limbic_aperiodic_exponent_p95,54.96208572387695,666.711669921875,27.0
net8_Executive_Control_aperiodic_exponent_p95,54.264076232910156,1332.0867919921875,7.0
net8_Executive_Control_aperiodic_exponent_median,53.99410629272461,1568.7818603515625,12.0
net8_Temporal_Parietal_aperiodic_exponent_p5,51.653648376464844,897.39453125,20.0
net8_Temporal_Parietal_aperiodic_exponent_median,41.67551040649414,192.6045379638672,6.0
