feature,mean_abs_shap
net8_Somatomotor_aperiodic_exponent_p95,0.046604408814951814
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,0.03119589804612503
net8_Dorsal_Attention_alpha_peak_bw_median,0.01714378139254563
net8_Default_Mode_aperiodic_exponent_median,0.014654348730505914
global_alpha_peak_bw_p95,0.012575983352537214
global_aperiodic_exponent_p95,0.01167330736518688
net8_Temporal_Parietal_aperiodic_exponent_p5,0.011133152039857836
net8_Default_Mode_aperiodic_exponent_p95,0.010434229059823762
net8_Visual_aperiodic_exponent_p95,0.0102433625825946
net8_Limbic_alpha_peak_bw_p95,0.009675501161469759
net8_Dorsal_Attention_aperiodic_offset_median,0.00955845441847354
net8_Somatomotor_aperiodic_offset_median,0.009544549667721992
net8_Executive_Control_aperiodic_exponent_median,0.009411306490982254
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,0.009075006602499859
net8_Temporal_Parietal_aperiodic_exponent_p95,0.009024735838044796
net8_Default_Mode_alpha_peak_pw_IQR,0.00887767606359098
net8_Limbic_alpha_peak_bw_median,0.008061102573924844
net8_Dorsal_Attention_aperiodic_exponent_p95,0.00763750320774855
net8_Default_Mode_aperiodic_offset_p5,0.007585298095549335
net8_Salience_Ventral_Attention_alpha_peak_bw_median,0.007267732084184259
net8_Dorsal_Attention_aperiodic_exponent_p5,0.007226798286921899
net8_Somatomotor_aperiodic_exponent_p5,0.007058518359799012
net8_Default_Mode_alpha_peak_bw_p95,0.006974233728725582
net8_Visual_aperiodic_exponent_median,0.006857680491405719
global_alpha_peak_bw_median,0.006803689019274112
net8_Limbic_aperiodic_exponent_p95,0.006331933458638921
net8_Limbic_aperiodic_exponent_median,0.006298722733002072
net8_Default_Mode_alpha_peak_cf_p95,0.006040268827340979
net8_Executive_Control_alpha_peak_bw_median,0.005905717481688086
net8_Somatomotor_aperiodic_exponent_median,0.005543020600717473
net8_Limbic_alpha_peak_cf_p95,0.005464364374870516
net8_Dorsal_Attention_aperiodic_exponent_median,0.005273436847877704
global_alpha_peak_bw_p5,0.005195676634082981
global_alpha_peak_cf_p95,0.005167479073054381
net8_Limbic_aperiodic_offset_p5,0.004837563091992272
net8_Executive_Control_aperiodic_exponent_p95,0.004670630284258318
net8_Salience_Ventral_Attention_aperiodic_offset_median,0.004471506810484349
global_aperiodic_offset_median,0.0044160638414892615
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,0.004373096152185823
global_aperiodic_offset_p5,0.004263262751484843
net8_Default_Mode_aperiodic_offset_median,0.00423032676935432
net8_Visual_aperiodic_offset_p95,0.004020666462869718
global_aperiodic_exponent_p5,0.0038244278216109234
net8_Default_Mode_alpha_peak_bw_median,0.0037803609566245716
net8_Executive_Control_alpha_peak_cf_p95,0.003279747011166491
net8_Visual_aperiodic_offset_median,0.0030218471779915913
net8_Executive_Control_aperiodic_offset_median,0.002276677511638167
net8_Temporal_Parietal_aperiodic_exponent_median,0.0020527195786112905
net8_Executive_Control_aperiodic_offset_p5,0.0019522865304687203
net8_Salience_Ventral_Attention_aperiodic_exponent_median,0.0016987115139700953
global_aperiodic_exponent_median,0.0003070838404091606
