feature,gain,cover,weight
net8_Visual_alpha_peak_pw_p95,678.0507202148438,1890.17431640625,88.0
net8_Visual_alpha_peak_pw_median,165.54034423828125,1932.4984130859375,116.0
global_aperiodic_exponent_p95,163.51962280273438,1773.4310302734375,79.0
net8_Executive_Control_aperiodic_exponent_p95,110.53826141357422,1093.023193359375,59.0
net8_Dorsal_Attention_alpha_peak_pw_p95,87.2018814086914,1520.3070068359375,46.0
global_alpha_peak_pw_p95,84.2638168334961,1044.0697021484375,24.0
net8_Temporal_Parietal_alpha_peak_cf_median,76.52793884277344,718.1187133789062,80.0
net8_Limbic_n,73.11604309082031,1344.3836669921875,80.0
net8_Default_Mode_aperiodic_exponent_p95,72.82266235351562,1251.7318115234375,68.0
net8_Visual_alpha_peak_cf_median,70.09178924560547,914.9249267578125,90.0
net8_Visual_aperiodic_exponent_p95,65.22554779052734,646.5734252929688,47.0
net8_Temporal_Parietal_alpha_peak_pw_p95,62.72891616821289,825.9788208007812,62.0
net8_Default_Mode_alpha_peak_pw_p95,60.31010437011719,762.0750122070312,43.0
global_alpha_peak_cf_median,59.28685760498047,733.2991943359375,33.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,57.966407775878906,904.046875,39.0
net8_Dorsal_Attention_aperiodic_exponent_p95,56.3231315612793,421.0339660644531,38.0
net8_Limbic_alpha_peak_cf_median,53.87657165527344,766.56982421875,93.0
net8_Limbic_aperiodic_exponent_p95,52.016605377197266,1266.58935546875,95.0
net8_Default_Mode_alpha_peak_pw_IQR,49.759368896484375,1178.7825927734375,69.0
net8_Temporal_Parietal_alpha_peak_cf_p95,48.76768493652344,707.6258544921875,51.0
net8_Dorsal_Attention_alpha_peak_bw_p95,48.21494674682617,977.8726196289062,65.0
global_alpha_peak_pw_IQR,47.60755920410156,732.8018798828125,64.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,46.64204406738281,986.6239624023438,54.0
global_aperiodic_exponent_p5,45.338558197021484,729.3991088867188,26.0
net8_Limbic_alpha_peak_cf_p95,44.808250427246094,978.7015991210938,51.0
net8_Temporal_Parietal_aperiodic_exponent_p5,44.58539962768555,508.7153625488281,37.0
net8_Executive_Control_alpha_peak_pw_p95,44.23080062866211,1088.1175537109375,29.0
net8_Temporal_Parietal_alpha_peak_pw_median,43.494232177734375,922.3405151367188,67.0
net8_Default_Mode_alpha_peak_cf_median,43.207340240478516,903.5670166015625,25.0
net8_Default_Mode_aperiodic_exponent_p5,41.886863708496094,1425.4893798828125,52.0
global_alpha_peak_cf_p95,41.79981231689453,604.4833984375,40.0
net8_Somatomotor_aperiodic_exponent_median,41.67156219482422,683.5201416015625,40.0
net8_Temporal_Parietal_aperiodic_exponent_p95,41.444610595703125,486.5947265625,69.0
net8_Limbic_alpha_peak_bw_p95,40.87055969238281,955.8602905273438,110.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,40.80971908569336,536.3947143554688,28.0
net8_Limbic_aperiodic_exponent_p5,39.92945861816406,696.26904296875,48.0
net8_Executive_Control_aperiodic_exponent_median,39.84628677368164,525.169677734375,27.0
net8_Somatomotor_alpha_peak_bw_p95,39.56916427612305,1161.0638427734375,54.0
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,39.141597747802734,777.6671142578125,40.0
