feature,mean_abs_shap
net8_Visual_alpha_peak_pw_p95,0.05122855823133567
global_aperiodic_exponent_p95,0.042579164436601764
net8_Visual_alpha_peak_pw_median,0.035495783282569415
net8_Dorsal_Attention_alpha_peak_pw_p95,0.023734405987978418
net8_Limbic_n,0.02234441458996404
net8_Default_Mode_aperiodic_exponent_p95,0.022323585325063806
net8_Limbic_aperiodic_exponent_p95,0.02054653279768935
net8_Default_Mode_alpha_peak_pw_IQR,0.017983194436683368
net8_Default_Mode_aperiodic_exponent_p5,0.016251402194831656
net8_Limbic_alpha_peak_bw_p95,0.015985827916435876
net8_Temporal_Parietal_alpha_peak_pw_p95,0.0138274802837398
net8_Executive_Control_aperiodic_exponent_p95,0.01340883874374395
net8_Salience_Ventral_Attention_alpha_peak_pw_p95,0.012621453759058978
net8_Visual_alpha_peak_cf_median,0.012191782086603134
net8_Somatomotor_aperiodic_exponent_p95,0.010872037234384879
net8_Temporal_Parietal_alpha_peak_cf_median,0.010463126128007668
net8_Temporal_Parietal_alpha_peak_pw_median,0.010192135384962447
net8_Limbic_alpha_peak_cf_median,0.010015630865384893
net8_Visual_aperiodic_exponent_p95,0.009976690067251054
net8_Visual_alpha_peak_cf_p95,0.009453008628861089
net8_Default_Mode_alpha_peak_pw_p95,0.00910156747748635
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,0.008752432994664069
net8_Somatomotor_aperiodic_exponent_p5,0.008616911107071096
net8_Somatomotor_alpha_peak_bw_p95,0.007939356677368092
net8_Dorsal_Attention_aperiodic_exponent_median,0.007697087369251729
net8_Dorsal_Attention_alpha_peak_bw_p95,0.007543656984688383
net8_Limbic_aperiodic_exponent_p5,0.007403373767455499
net8_Temporal_Parietal_aperiodic_exponent_median,0.007099773683336471
net8_Dorsal_Attention_aperiodic_exponent_p5,0.006798519957858957
net8_Limbic_alpha_peak_cf_p95,0.006774176100253497
net8_Limbic_aperiodic_exponent_median,0.006720747934924404
net8_Somatomotor_alpha_peak_pw_p95,0.006459353238046881
global_alpha_peak_pw_p95,0.006284207618525165
net8_Somatomotor_aperiodic_exponent_median,0.005762515905095335
net8_Somatomotor_alpha_peak_pw_median,0.0053905779859271825
net8_Default_Mode_alpha_peak_bw_p95,0.005336720438629621
global_alpha_peak_pw_median,0.005335768151464379
global_alpha_peak_pw_IQR,0.005321521220466573
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,0.005306285161982183
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,0.005304643891921344
net8_Executive_Control_alpha_peak_bw_p95,0.005276163978968471
net8_Executive_Control_alpha_peak_pw_p95,0.005168849894555386
net8_Dorsal_Attention_alpha_peak_cf_p95,0.005038944159540507
net8_Executive_Control_aperiodic_exponent_p5,0.004813958672983754
net8_Default_Mode_aperiodic_exponent_median,0.004555604963891799
net8_Temporal_Parietal_aperiodic_exponent_p95,0.004472687254321304
net8_Default_Mode_alpha_peak_cf_median,0.004400063451930669
net8_Temporal_Parietal_alpha_peak_cf_p95,0.004383101591004871
net8_Salience_Ventral_Attention_alpha_peak_cf_median,0.004270551563774371
net8_Dorsal_Attention_aperiodic_exponent_p95,0.004248647788274032
net8_Dorsal_Attention_alpha_peak_pw_median,0.004217080400192145
net8_Dorsal_Attention_alpha_peak_cf_median,0.003996734245138995
net8_Salience_Ventral_Attention_aperiodic_exponent_median,0.0037647853341878654
net8_Executive_Control_aperiodic_exponent_median,0.003677540141933624
net8_Executive_Control_alpha_peak_pw_median,0.0036723722604102157
net8_Temporal_Parietal_aperiodic_exponent_p5,0.0036708544213143158
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,0.003598792923781672
net8_Visual_aperiodic_exponent_median,0.0035526041522811217
net8_Executive_Control_alpha_peak_cf_p95,0.003400388974037142
net8_Somatomotor_alpha_peak_cf_p95,0.003315994964453926
global_alpha_peak_bw_p95,0.0032897800130412434
global_alpha_peak_cf_median,0.0031605628950553133
global_alpha_peak_cf_p95,0.002878610104425205
global_aperiodic_exponent_median,0.0026416980652996763
net8_Somatomotor_alpha_peak_cf_median,0.0023876039856581617
global_aperiodic_exponent_p5,0.0020814032549176147
net8_Executive_Control_alpha_peak_cf_median,0.001460382694120029
net8_Default_Mode_alpha_peak_cf_p95,0.0012593064911240288
