feature,gain,cover,weight
global_aperiodic_exponent_p95,184.36325073242188,513.9171142578125,9.0
net8_Executive_Control_aperiodic_exponent_p95,75.62240600585938,228.15391540527344,11.0
net8_Temporal_Parietal_alpha_peak_cf_median,38.119598388671875,248.16946411132812,4.0
net8_Default_Mode_aperiodic_exponent_p95,35.67211151123047,242.95858764648438,10.0
net8_Somatomotor_aperiodic_offset_p95,28.59307098388672,181.19427490234375,2.0
net8_Dorsal_Attention_alpha_peak_cf_median,27.0682373046875,88.88639831542969,1.0
net8_Default_Mode_alpha_peak_cf_median,25.177383422851562,211.4110870361328,6.0
net8_Salience_Ventral_Attention_aperiodic_offset_p5,24.848060607910156,231.3974609375,2.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,23.38888168334961,150.342041015625,5.0
net8_Executive_Control_aperiodic_exponent_median,23.18536376953125,128.78224182128906,1.0
net8_Limbic_aperiodic_exponent_p95,22.872060775756836,162.82275390625,6.0
net8_Somatomotor_aperiodic_exponent_p95,18.9078311920166,137.50515747070312,7.0
global_alpha_peak_bw_p5,18.626632690429688,102.03811645507812,9.0
net8_Visual_aperiodic_exponent_p95,18.388572692871094,87.8572006225586,2.0
net8_Default_Mode_alpha_peak_cf_p95,17.276927947998047,156.43795776367188,2.0
global_alpha_peak_pw_median,17.07426643371582,124.27970886230469,15.0
net8_Default_Mode_aperiodic_exponent_p5,16.83365249633789,34.15238571166992,1.0
net8_Temporal_Parietal_aperiodic_exponent_median,16.713232040405273,71.16602325439453,5.0
net8_Temporal_Parietal_alpha_peak_cf_p95,16.49391746520996,104.690185546875,5.0
net8_Visual_alpha_peak_cf_median,15.980279922485352,114.1728515625,11.0
net8_Somatomotor_alpha_peak_cf_median,15.66573715209961,121.07150268554688,1.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,15.571595191955566,64.90039825439453,4.0
net8_Dorsal_Attention_aperiodic_offset_p95,15.521095275878906,46.744407653808594,2.0
net8_Temporal_Parietal_aperiodic_offset_p5,15.416213989257812,74.76240539550781,6.0
net8_Limbic_alpha_peak_cf_median,15.24090576171875,81.67761993408203,9.0
global_aperiodic_offset_p5,14.885129928588867,82.19509887695312,4.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,14.801541328430176,48.098602294921875,3.0
net8_Temporal_Parietal_aperiodic_offset_p95,14.786578178405762,89.55463409423828,7.0
net8_Visual_aperiodic_exponent_median,14.60690689086914,71.82740020751953,8.0
net8_Dorsal_Attention_aperiodic_exponent_p5,14.39320182800293,55.66136932373047,4.0
net8_Limbic_aperiodic_exponent_median,14.262898445129395,33.87935256958008,4.0
net8_Somatomotor_alpha_peak_bw_p5,14.093744277954102,87.89341735839844,9.0
global_aperiodic_offset_p95,13.992408752441406,72.25756072998047,2.0
net8_Somatomotor_aperiodic_exponent_p5,13.723370552062988,69.35576629638672,2.0
net8_Dorsal_Attention_aperiodic_exponent_p95,13.341179847717285,88.35585021972656,7.0
net8_Temporal_Parietal_aperiodic_offset_median,13.154667854309082,42.761756896972656,5.0
global_alpha_peak_pw_p5,13.146596908569336,86.44491577148438,9.0
net8_Dorsal_Attention_aperiodic_exponent_median,13.133857727050781,62.21848678588867,5.0
net8_Limbic_alpha_peak_cf_p95,13.112112998962402,54.66840744018555,8.0
net8_Executive_Control_aperiodic_offset_p95,12.65160846710205,22.46782112121582,3.0
net8_Default_Mode_aperiodic_offset_p5,12.51478099822998,52.406707763671875,3.0
net8_Somatomotor_aperiodic_offset_median,12.1685791015625,112.14483642578125,1.0
net8_Somatomotor_alpha_peak_bw_median,11.835803985595703,42.54967498779297,2.0
net8_Default_Mode_aperiodic_exponent_median,11.818105697631836,50.87471389770508,5.0
net8_Executive_Control_aperiodic_offset_p5,11.645111083984375,35.600921630859375,2.0
net8_Executive_Control_alpha_peak_cf_p95,11.438912391662598,69.83330535888672,6.0
net8_Dorsal_Attention_alpha_peak_pw_median,11.414164543151855,100.63836669921875,7.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,10.951754570007324,99.12899017333984,2.0
net8_Temporal_Parietal_aperiodic_exponent_p5,9.72250747680664,45.168251037597656,2.0
net8_Temporal_Parietal_aperiodic_exponent_p95,9.488625526428223,60.37015914916992,6.0
net8_Default_Mode_aperiodic_offset_median,9.4635009765625,107.65625762939453,1.0
net8_Dorsal_Attention_aperiodic_offset_median,9.353601455688477,78.91048431396484,8.0
net8_Default_Mode_aperiodic_offset_p95,8.948360443115234,34.087093353271484,2.0
global_alpha_peak_cf_p95,8.841411590576172,57.92582702636719,3.0
net8_Somatomotor_alpha_peak_cf_p95,8.718204498291016,64.80364227294922,9.0
net8_Limbic_aperiodic_offset_p95,8.53918170928955,34.78663635253906,11.0
net8_Executive_Control_aperiodic_offset_median,7.926738262176514,60.081085205078125,4.0
net8_Executive_Control_alpha_peak_cf_median,7.464363098144531,94.41602325439453,2.0
net8_Limbic_aperiodic_offset_p5,7.290165901184082,56.20184326171875,2.0
net8_Salience_Ventral_Attention_aperiodic_offset_p95,7.285508632659912,45.41090774536133,5.0
net8_Visual_aperiodic_exponent_p5,6.728631973266602,53.42592239379883,4.0
net8_Limbic_aperiodic_offset_median,6.7032551765441895,68.42791748046875,4.0
net8_Salience_Ventral_Attention_aperiodic_offset_median,6.085803985595703,39.379356384277344,2.0
net8_Dorsal_Attention_alpha_peak_cf_p95,5.182772636413574,58.050498962402344,2.0
global_alpha_peak_cf_median,4.826934814453125,103.29947662353516,1.0
global_aperiodic_exponent_median,0.0,0.0,0.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,0.0,0.0,0.0
global_aperiodic_offset_median,0.0,0.0,0.0
global_aperiodic_exponent_p5,0.0,0.0,0.0
