feature,gain,cover,weight
global_aperiodic_exponent_p95,94.27387237548828,250.92311096191406,26.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,25.20107650756836,150.43443298339844,27.0
net8_Dorsal_Attention_aperiodic_exponent_p95,15.814465522766113,87.5423812866211,29.0
net8_Limbic_aperiodic_exponent_p95,11.339471817016602,116.36021423339844,45.0
net8_Visual_aperiodic_exponent_p95,10.484903335571289,97.84501647949219,46.0
net8_Temporal_Parietal_aperiodic_exponent_p95,9.698296546936035,89.97564697265625,28.0
net8_Default_Mode_aperiodic_exponent_p95,8.983654975891113,114.50817108154297,33.0
net8_Dorsal_Attention_alpha_peak_pw_median,7.66465950012207,83.36863708496094,61.0
net8_Default_Mode_aperiodic_offset_median,7.176881313323975,50.00107192993164,12.0
global_alpha_peak_pw_median,7.0151190757751465,90.00587463378906,63.0
net8_Temporal_Parietal_aperiodic_offset_p95,6.737864017486572,60.97146224975586,31.0
net8_Somatomotor_alpha_peak_bw_p5,6.427019119262695,80.57504272460938,72.0
net8_Salience_Ventral_Attention_aperiodic_offset_p5,6.297379970550537,69.78926849365234,28.0
net8_Salience_Ventral_Attention_aperiodic_offset_median,6.1796488761901855,61.08100891113281,15.0
net8_Somatomotor_alpha_peak_cf_p95,6.03035831451416,55.36106491088867,30.0
net8_Temporal_Parietal_alpha_peak_cf_median,5.964967250823975,66.15846252441406,49.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,5.886020183563232,51.96611785888672,10.0
net8_Somatomotor_aperiodic_exponent_p95,5.881519317626953,85.25054931640625,35.0
net8_Default_Mode_alpha_peak_cf_median,5.808775901794434,90.44732666015625,34.0
net8_Visual_aperiodic_offset_p95,5.768314361572266,47.144954681396484,22.0
net8_Somatomotor_aperiodic_offset_p95,5.754239082336426,79.25228881835938,27.0
net8_Temporal_Parietal_aperiodic_offset_p5,5.44303560256958,57.02610397338867,31.0
net8_Dorsal_Attention_alpha_peak_pw_p5,5.439175128936768,74.90396118164062,47.0
net8_Visual_alpha_peak_cf_p95,5.174869537353516,67.43651580810547,19.0
global_aperiodic_offset_p5,5.141443729400635,71.98363494873047,6.0
net8_Temporal_Parietal_alpha_peak_cf_p95,5.078994274139404,55.18748474121094,34.0
net8_Executive_Control_aperiodic_offset_p95,4.9446821212768555,63.766456604003906,8.0
net8_Temporal_Parietal_aperiodic_exponent_p5,4.874802589416504,49.392669677734375,23.0
net8_Dorsal_Attention_aperiodic_exponent_p5,4.864173412322998,27.92013931274414,27.0
net8_Dorsal_Attention_alpha_peak_cf_median,4.69972562789917,47.87895584106445,31.0
net8_Limbic_aperiodic_offset_p95,4.659663677215576,55.57603454589844,36.0
net8_Temporal_Parietal_aperiodic_exponent_median,4.273072719573975,48.1661491394043,25.0
net8_Executive_Control_aperiodic_exponent_p95,4.028509616851807,53.44916915893555,15.0
global_aperiodic_offset_p95,3.943643093109131,52.603851318359375,10.0
net8_Executive_Control_aperiodic_exponent_median,3.8767409324645996,28.81851577758789,20.0
net8_Dorsal_Attention_aperiodic_offset_p5,3.8563904762268066,78.46993255615234,17.0
net8_Limbic_alpha_peak_cf_p95,3.851139545440674,56.281192779541016,46.0
net8_Somatomotor_aperiodic_exponent_median,3.809852361679077,33.93107986450195,16.0
net8_Salience_Ventral_Attention_aperiodic_offset_p95,3.8023788928985596,49.60446548461914,17.0
net8_Executive_Control_alpha_peak_cf_p95,3.767756223678589,45.6253662109375,29.0
global_alpha_peak_cf_median,3.7556445598602295,64.06233978271484,20.0
net8_Dorsal_Attention_aperiodic_offset_p95,3.7434370517730713,72.99585723876953,16.0
net8_Visual_aperiodic_offset_median,3.7258682250976562,43.181800842285156,25.0
global_alpha_peak_cf_p95,3.6893866062164307,58.46882247924805,22.0
net8_Temporal_Parietal_aperiodic_offset_median,3.6257123947143555,44.3155403137207,18.0
net8_Default_Mode_aperiodic_exponent_p5,3.620133399963379,30.50005340576172,8.0
net8_Dorsal_Attention_aperiodic_offset_median,3.615046977996826,59.583011627197266,14.0
net8_Executive_Control_aperiodic_exponent_p5,3.6018173694610596,34.18061447143555,19.0
net8_Visual_aperiodic_offset_p5,3.6004483699798584,61.17159652709961,14.0
net8_Default_Mode_aperiodic_offset_p5,3.5783870220184326,68.4959716796875,26.0
net8_Somatomotor_aperiodic_offset_p5,3.5241684913635254,58.925804138183594,20.0
net8_Limbic_alpha_peak_cf_median,3.4626553058624268,51.63454055786133,32.0
global_alpha_peak_pw_p5,3.4268603324890137,43.48455047607422,40.0
net8_Dorsal_Attention_aperiodic_exponent_median,3.4028217792510986,31.935941696166992,24.0
net8_Executive_Control_aperiodic_offset_p5,3.24918270111084,46.1060791015625,11.0
net8_Default_Mode_aperiodic_offset_p95,3.1812326908111572,44.502532958984375,19.0
net8_Default_Mode_aperiodic_exponent_median,3.161303997039795,36.75910568237305,10.0
net8_Visual_aperiodic_exponent_median,3.1126227378845215,53.23890686035156,25.0
net8_Executive_Control_aperiodic_offset_median,3.1057748794555664,38.3887939453125,8.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,3.046443462371826,35.91059112548828,31.0
net8_Salience_Ventral_Attention_alpha_peak_pw_median,3.0377790927886963,40.96717834472656,32.0
net8_Limbic_aperiodic_offset_median,2.905524969100952,42.56614685058594,23.0
net8_Visual_aperiodic_exponent_p5,2.788411855697632,24.726558685302734,15.0
net8_Executive_Control_alpha_peak_cf_median,2.345540761947632,35.558387756347656,14.0
net8_Limbic_aperiodic_exponent_median,2.322509527206421,17.575963973999023,19.0
net8_Limbic_aperiodic_offset_p5,2.3142096996307373,49.29161834716797,10.0
net8_Somatomotor_aperiodic_exponent_p5,2.2821707725524902,38.83149719238281,13.0
global_aperiodic_exponent_median,2.1357455253601074,15.340936660766602,8.0
net8_Somatomotor_aperiodic_offset_median,1.7165107727050781,43.66696548461914,4.0
global_aperiodic_offset_median,1.7033361196517944,25.882976531982422,7.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,1.568900465965271,24.428300857543945,6.0
global_aperiodic_exponent_p5,1.252069354057312,11.367609977722168,4.0
