feature,gain,cover,weight
global_aperiodic_exponent_p95,137.2382354736328,729.05224609375,44.0
net8_Default_Mode_aperiodic_exponent_p95,65.3092269897461,521.23095703125,25.0
global_alpha_peak_pw_p95,43.57113265991211,414.8460388183594,7.0
net8_Executive_Control_aperiodic_exponent_p95,29.620237350463867,491.3908996582031,27.0
global_alpha_peak_cf_p5,26.538972854614258,462.7557678222656,23.0
net8_Visual_alpha_peak_pw_p95,26.40091896057129,450.1334533691406,57.0
net8_Limbic_aperiodic_exponent_p95,25.79328155517578,470.9013977050781,50.0
net8_Limbic_alpha_peak_cf_median,25.785003662109375,434.72503662109375,56.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,25.189159393310547,411.47686767578125,16.0
net8_Dorsal_Attention_aperiodic_exponent_p95,22.75361442565918,516.9141845703125,29.0
net8_Dorsal_Attention_alpha_peak_pw_p95,22.17699432373047,358.43157958984375,17.0
net8_Limbic_alpha_peak_cf_p5,20.255895614624023,362.0986328125,37.0
net8_Temporal_Parietal_aperiodic_exponent_median,17.81571388244629,367.62384033203125,27.0
net8_Temporal_Parietal_alpha_peak_cf_median,15.59717082977295,191.48841857910156,21.0
global_alpha_peak_pw_IQR,14.67973518371582,313.7357177734375,30.0
net8_Default_Mode_alpha_peak_cf_median,14.616519927978516,241.08995056152344,16.0
net8_Visual_alpha_peak_pw_median,14.598739624023438,285.1283264160156,49.0
net8_Temporal_Parietal_aperiodic_exponent_p95,14.362947463989258,430.0030517578125,41.0
global_alpha_peak_cf_median,13.824554443359375,304.9162902832031,11.0
net8_Default_Mode_alpha_peak_bw_p95,13.665351867675781,278.0499572753906,57.0
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,13.505630493164062,296.1051940917969,28.0
net8_Default_Mode_alpha_peak_pw_IQR,13.449268341064453,289.4925537109375,26.0
global_alpha_peak_pw_median,13.102302551269531,274.2424621582031,17.0
net8_Default_Mode_aperiodic_exponent_p5,12.612360000610352,427.2061462402344,21.0
net8_Dorsal_Attention_aperiodic_exponent_median,12.602494239807129,236.7875518798828,28.0
global_alpha_peak_bw_p95,12.368460655212402,276.6053161621094,44.0
net8_Dorsal_Attention_alpha_peak_cf_p5,11.98137092590332,256.41851806640625,41.0
net8_Visual_aperiodic_exponent_p95,11.541707038879395,285.3687438964844,22.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,11.31096076965332,192.72434997558594,26.0
net8_Visual_aperiodic_exponent_p5,11.249917984008789,253.6479949951172,28.0
net8_Executive_Control_alpha_peak_cf_p95,11.012067794799805,157.90481567382812,21.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,10.983689308166504,189.86793518066406,14.0
net8_Executive_Control_alpha_peak_pw_p95,10.873984336853027,212.90866088867188,29.0
net8_Temporal_Parietal_alpha_peak_cf_p95,10.85000228881836,187.29843139648438,11.0
net8_Default_Mode_alpha_peak_cf_p5,10.629251480102539,244.4294891357422,17.0
net8_Executive_Control_alpha_peak_bw_p95,10.479043960571289,236.9735565185547,35.0
net8_Visual_aperiodic_exponent_median,10.370718955993652,238.7437286376953,20.0
net8_Dorsal_Attention_alpha_peak_pw_median,10.103557586669922,224.52037048339844,35.0
net8_Somatomotor_alpha_peak_cf_median,10.102692604064941,195.24818420410156,18.0
net8_Somatomotor_aperiodic_exponent_p5,10.0294828414917,202.88162231445312,25.0
net8_Dorsal_Attention_alpha_peak_cf_median,9.848359107971191,195.371337890625,12.0
net8_Executive_Control_aperiodic_exponent_median,9.844720840454102,129.61178588867188,9.0
net8_Limbic_alpha_peak_cf_p95,9.825806617736816,244.5257568359375,35.0
net8_Somatomotor_aperiodic_exponent_median,9.325094223022461,117.78069305419922,16.0
global_aperiodic_exponent_p5,9.262153625488281,216.15512084960938,11.0
global_aperiodic_exponent_median,9.19510269165039,123.25841522216797,11.0
net8_Dorsal_Attention_alpha_peak_cf_p95,9.007909774780273,298.5994873046875,22.0
net8_Somatomotor_alpha_peak_pw_p5,8.952607154846191,107.5979995727539,18.0
global_alpha_peak_cf_p95,8.892477035522461,153.4867706298828,8.0
net8_Dorsal_Attention_aperiodic_exponent_p5,8.712069511413574,155.9456024169922,19.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,8.528668403625488,291.600830078125,19.0
net8_Temporal_Parietal_alpha_peak_cf_p5,8.451855659484863,157.19842529296875,30.0
net8_Executive_Control_alpha_peak_cf_p5,8.16007137298584,169.43838500976562,16.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,8.022665977478027,197.70933532714844,12.0
net8_Temporal_Parietal_aperiodic_exponent_p5,7.959020614624023,64.17682647705078,11.0
net8_Executive_Control_aperiodic_exponent_p5,7.956263542175293,197.19113159179688,8.0
net8_Limbic_aperiodic_exponent_p5,7.824739456176758,87.07762145996094,18.0
net8_Somatomotor_aperiodic_exponent_p95,7.82072114944458,124.06471252441406,14.0
net8_Somatomotor_alpha_peak_cf_p95,7.672945022583008,133.3746795654297,18.0
net8_Dorsal_Attention_alpha_peak_pw_p5,7.377921104431152,187.73049926757812,40.0
net8_Default_Mode_aperiodic_exponent_median,7.311758041381836,95.50654602050781,4.0
net8_Visual_alpha_peak_cf_p95,7.08953857421875,181.0399169921875,20.0
net8_Limbic_aperiodic_exponent_median,7.020567893981934,94.74163818359375,19.0
net8_Executive_Control_alpha_peak_cf_median,6.977540493011475,105.82331085205078,12.0
net8_Default_Mode_alpha_peak_cf_p95,6.870946884155273,145.00584411621094,13.0
net8_Visual_alpha_peak_cf_median,6.636490345001221,165.51513671875,13.0
net8_Default_Mode_alpha_peak_pw_p95,6.606104850769043,122.47431945800781,22.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,6.3355631828308105,127.57266998291016,23.0
net8_Somatomotor_alpha_peak_cf_p5,5.87635612487793,82.85673522949219,25.0
