feature,mean_abs_shap
global_aperiodic_exponent_p95,0.05044770570484468
net8_Limbic_alpha_peak_cf_median,0.031449091702350475
net8_Limbic_aperiodic_exponent_p95,0.026315664775631496
net8_Visual_alpha_peak_pw_p95,0.024921455911258005
net8_Dorsal_Attention_aperiodic_exponent_p95,0.02205491809900456
net8_Default_Mode_aperiodic_exponent_p95,0.02041196147428103
net8_Default_Mode_alpha_peak_bw_p95,0.017102605004798873
net8_Temporal_Parietal_aperiodic_exponent_p95,0.015453689306869465
net8_Limbic_alpha_peak_cf_p5,0.013741331135837047
global_alpha_peak_bw_p95,0.013547739126900207
net8_Visual_alpha_peak_pw_median,0.012911243401085879
net8_Executive_Control_aperiodic_exponent_p95,0.012186950656185592
net8_Visual_aperiodic_exponent_p5,0.011355747916052528
net8_Dorsal_Attention_alpha_peak_cf_p5,0.01127368857731251
net8_Dorsal_Attention_aperiodic_exponent_median,0.011251890125080558
net8_Executive_Control_alpha_peak_bw_p95,0.009950079389588399
global_alpha_peak_cf_p5,0.009923287620818125
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,0.009549769765644993
net8_Default_Mode_aperiodic_exponent_p5,0.009108322675340178
global_alpha_peak_pw_IQR,0.008697104138031219
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,0.00869568653536539
net8_Default_Mode_alpha_peak_pw_IQR,0.008607603779352697
net8_Temporal_Parietal_aperiodic_exponent_median,0.008298833888460555
net8_Dorsal_Attention_alpha_peak_pw_p95,0.007307602143401552
net8_Somatomotor_aperiodic_exponent_p5,0.007156215821146449
net8_Executive_Control_alpha_peak_pw_p95,0.006286224361089604
net8_Limbic_alpha_peak_cf_p95,0.0056247379663359335
net8_Visual_aperiodic_exponent_median,0.0053924744745809175
global_alpha_peak_pw_median,0.0052798496061827556
net8_Temporal_Parietal_alpha_peak_cf_median,0.0051659460012728805
net8_Visual_aperiodic_exponent_p95,0.005066028357063194
net8_Somatomotor_alpha_peak_cf_median,0.004992788337143681
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,0.004613222822232027
net8_Dorsal_Attention_aperiodic_exponent_p5,0.0046018884068378075
net8_Dorsal_Attention_alpha_peak_pw_p5,0.004278313829444681
net8_Dorsal_Attention_alpha_peak_pw_median,0.0038930885507722944
net8_Somatomotor_aperiodic_exponent_median,0.003776367397814682
net8_Temporal_Parietal_alpha_peak_cf_p5,0.003771278181735388
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,0.0037074088778258933
global_alpha_peak_pw_p95,0.0036749727223792444
net8_Default_Mode_alpha_peak_cf_median,0.003666087874532289
net8_Salience_Ventral_Attention_alpha_peak_cf_median,0.0033761274569349096
net8_Dorsal_Attention_alpha_peak_cf_p95,0.003252772174140766
net8_Somatomotor_alpha_peak_cf_p95,0.0032384684060313374
global_alpha_peak_cf_median,0.003023847727245003
net8_Limbic_aperiodic_exponent_p5,0.0027079516332347907
net8_Dorsal_Attention_alpha_peak_cf_median,0.002629669792864832
global_aperiodic_exponent_median,0.002430551455003751
net8_Executive_Control_alpha_peak_cf_p95,0.0023659467775328795
net8_Visual_alpha_peak_cf_p95,0.002309418483152605
net8_Executive_Control_alpha_peak_cf_p5,0.002299817518449923
global_aperiodic_exponent_p5,0.0021747265880288414
net8_Executive_Control_aperiodic_exponent_p5,0.002159666619271541
net8_Default_Mode_alpha_peak_cf_p5,0.002052103515550729
net8_Somatomotor_alpha_peak_pw_p5,0.0017720389823131747
net8_Somatomotor_alpha_peak_cf_p5,0.0017668861694627737
net8_Limbic_aperiodic_exponent_median,0.0017644344359147523
net8_Temporal_Parietal_alpha_peak_cf_p95,0.0016875619936305298
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,0.0016302153783235474
net8_Salience_Ventral_Attention_aperiodic_exponent_median,0.0015398736518282019
net8_Default_Mode_aperiodic_exponent_median,0.0015386700430457451
net8_Default_Mode_alpha_peak_pw_p95,0.0015130595816803863
net8_Somatomotor_aperiodic_exponent_p95,0.0014266369985552502
net8_Visual_alpha_peak_cf_median,0.0012700204155044249
net8_Executive_Control_aperiodic_exponent_median,0.0012367767556976815
global_alpha_peak_cf_p95,0.0010966770826585433
net8_Temporal_Parietal_aperiodic_exponent_p5,0.0009944910420212596
net8_Executive_Control_alpha_peak_cf_median,0.0009884149295137827
net8_Default_Mode_alpha_peak_cf_p95,0.0009311459489624349
