feature,gain,cover,weight
global_aperiodic_exponent_p95,380.6340637207031,768.9481201171875,142.0
net8_Executive_Control_aperiodic_exponent_p95,93.51973724365234,336.01934814453125,90.0
net8_Dorsal_Attention_aperiodic_exponent_p95,69.25408935546875,335.33941650390625,78.0
net8_Visual_alpha_peak_pw_median,48.84521484375,277.5909118652344,132.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,45.5885009765625,260.18231201171875,78.0
net8_Limbic_alpha_peak_cf_median,45.21391296386719,379.21917724609375,111.0
net8_Visual_alpha_peak_pw_p95,41.6524658203125,364.8274230957031,147.0
net8_Default_Mode_aperiodic_exponent_p95,35.5097770690918,171.45396423339844,98.0
n_total,32.31026077270508,257.8614807128906,207.0
net8_Limbic_aperiodic_exponent_p95,29.570377349853516,245.56863403320312,194.0
net8_Visual_alpha_peak_cf_median,29.225147247314453,261.0937805175781,75.0
net8_Temporal_Parietal_alpha_peak_cf_p5,24.91368865966797,291.2631530761719,60.0
net8_Salience_Ventral_Attention_n,19.811962127685547,115.525146484375,44.0
global_alpha_peak_cf_median,19.59902572631836,127.85895538330078,74.0
global_alpha_peak_bw_median,18.892166137695312,119.53388214111328,109.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,18.88180923461914,248.8510284423828,84.0
net8_Temporal_Parietal_alpha_peak_cf_median,18.75328826904297,117.84590148925781,92.0
net8_Limbic_alpha_peak_bw_p95,18.21591567993164,175.3364715576172,94.0
net8_Default_Mode_alpha_peak_pw_p95,17.749805450439453,208.1558380126953,24.0
global_alpha_peak_pw_IQR,17.538068771362305,149.13185119628906,81.0
net8_Temporal_Parietal_aperiodic_exponent_p95,17.519935607910156,162.96200561523438,111.0
net8_Dorsal_Attention_alpha_peak_cf_median,17.136390686035156,173.38462829589844,73.0
net8_Temporal_Parietal_aperiodic_exponent_median,17.011913299560547,189.31533813476562,57.0
global_alpha_peak_bw_p95,16.737632751464844,227.73951721191406,79.0
net8_Dorsal_Attention_alpha_peak_cf_p5,15.950263023376465,177.71051025390625,87.0
global_aperiodic_exponent_median,15.5206880569458,67.65084075927734,21.0
net8_Executive_Control_alpha_peak_bw_p95,15.432124137878418,122.5368423461914,38.0
net8_Executive_Control_aperiodic_exponent_p5,15.102535247802734,54.00843048095703,68.0
net8_Default_Mode_alpha_peak_bw_p95,14.609910011291504,189.13232421875,134.0
net8_Executive_Control_alpha_peak_bw_median,13.489364624023438,75.63249206542969,81.0
net8_Visual_aperiodic_exponent_p95,13.48375129699707,104.80902099609375,91.0
net8_Dorsal_Attention_alpha_peak_pw_p5,13.394179344177246,76.07274627685547,67.0
net8_Visual_aperiodic_exponent_p5,13.331356048583984,84.81063842773438,71.0
net8_Visual_alpha_peak_cf_p95,13.193071365356445,88.82390594482422,105.0
net8_Executive_Control_alpha_peak_pw_p95,13.159790992736816,126.70130157470703,74.0
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,13.119508743286133,134.04736328125,62.0
