feature,mean_abs_shap
global_aperiodic_exponent_p95,0.05579064243153478
n_total,0.02122388559809024
net8_Visual_alpha_peak_pw_p95,0.018791724054793776
net8_Limbic_aperiodic_exponent_p95,0.015565537664305795
net8_Dorsal_Attention_aperiodic_exponent_p95,0.013849228612914027
net8_Visual_alpha_peak_pw_median,0.013561516663393123
net8_Limbic_alpha_peak_cf_median,0.013368705201154754
net8_Executive_Control_aperiodic_exponent_p95,0.010938688778307736
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,0.010610325797729341
net8_Temporal_Parietal_aperiodic_exponent_p95,0.009869892008486297
net8_Default_Mode_aperiodic_exponent_p95,0.009003498592916903
net8_Default_Mode_alpha_peak_bw_p95,0.008222930080949778
net8_Dorsal_Attention_alpha_peak_cf_median,0.006208329522429757
net8_Temporal_Parietal_alpha_peak_cf_p5,0.005746128488886471
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,0.0056445313844709485
net8_Limbic_alpha_peak_bw_p95,0.005489346370354377
global_alpha_peak_bw_median,0.005200090243310278
net8_Temporal_Parietal_alpha_peak_cf_median,0.004941309130956724
global_alpha_peak_cf_median,0.004605017159986402
net8_Visual_aperiodic_exponent_p95,0.004334374637841436
net8_Visual_alpha_peak_cf_median,0.004277318437455207
net8_Dorsal_Attention_alpha_peak_pw_p95,0.0040923594589128785
net8_Visual_alpha_peak_cf_p5,0.003928838905109897
net8_Dorsal_Attention_aperiodic_exponent_median,0.0038530330361046415
net8_Dorsal_Attention_alpha_peak_cf_p5,0.003763396907331849
global_alpha_peak_pw_IQR,0.0036981910912152176
global_alpha_peak_bw_p95,0.0036285892035161447
net8_Limbic_alpha_peak_cf_p5,0.0036270642404977963
net8_Executive_Control_alpha_peak_bw_median,0.00353314035674136
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,0.0034793560819740554
net8_Salience_Ventral_Attention_alpha_peak_bw_median,0.0033778952781703185
net8_Visual_aperiodic_exponent_p5,0.0033715994275429757
net8_Visual_aperiodic_exponent_median,0.003262938739701841
net8_Executive_Control_alpha_peak_pw_p95,0.003062683859895394
net8_Executive_Control_aperiodic_exponent_p5,0.002986755714530062
net8_Somatomotor_alpha_peak_pw_p5,0.0027213500396932105
net8_Visual_alpha_peak_cf_p95,0.002572942285763661
net8_Salience_Ventral_Attention_n,0.002400168125022263
net8_Temporal_Parietal_aperiodic_exponent_median,0.0023498433035519335
global_alpha_peak_cf_p5,0.0022177623896139035
net8_Dorsal_Attention_alpha_peak_bw_p95,0.002178572204659412
net8_Dorsal_Attention_alpha_peak_pw_p5,0.00216717350704308
net8_Somatomotor_alpha_peak_cf_median,0.0020998876741536204
net8_Default_Mode_alpha_peak_bw_median,0.0020435033388402518
net8_Temporal_Parietal_aperiodic_offset_p95,0.0019735471603823476
net8_Temporal_Parietal_alpha_peak_pw_median,0.0019561327520071
net8_Default_Mode_aperiodic_exponent_p5,0.0018398922046572632
net8_Default_Mode_n,0.0017721567837591372
net8_Default_Mode_alpha_peak_cf_p5,0.0015665259340795913
net8_Executive_Control_alpha_peak_bw_p95,0.0015503450272050235
net8_Default_Mode_alpha_peak_pw_p95,0.0014668689610817253
net8_Dorsal_Attention_alpha_peak_pw_median,0.0014605229987539499
global_alpha_peak_pw_median,0.0014117988371740585
net8_Somatomotor_aperiodic_exponent_p95,0.0013713759179948546
net8_Somatomotor_aperiodic_exponent_median,0.0013391199028040944
net8_Limbic_aperiodic_exponent_p5,0.0013256975297761646
net8_Default_Mode_alpha_peak_cf_median,0.0013008423026735028
net8_Visual_alpha_peak_bw_p95,0.0012839287387346745
global_aperiodic_exponent_median,0.00124433261773171
net8_Executive_Control_aperiodic_exponent_median,0.0012245068187392901
net8_Default_Mode_alpha_peak_pw_IQR,0.0012126879738349884
net8_Somatomotor_alpha_peak_cf_p5,0.0011494785673385338
net8_Executive_Control_alpha_peak_pw_IQR,0.0011064936490150477
net8_Somatomotor_alpha_peak_cf_p95,0.001081382531026495
net8_Dorsal_Attention_aperiodic_exponent_p5,0.001016385319538986
net8_Limbic_aperiodic_exponent_median,0.0009932394642780246
net8_Limbic_alpha_peak_cf_p95,0.0009010744321591384
net8_Executive_Control_alpha_peak_cf_p95,0.0008280553032940896
net8_Temporal_Parietal_aperiodic_exponent_p5,0.0007977540155328188
net8_Default_Mode_aperiodic_exponent_median,0.0007217333445623454
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,0.000703949067288503
net8_Temporal_Parietal_alpha_peak_cf_p95,0.0006971035458939417
net8_Limbic_n,0.0006710454767193411
net8_Salience_Ventral_Attention_alpha_peak_cf_median,0.0006604351214341165
net8_Somatomotor_aperiodic_exponent_p5,0.0005844303002950479
net8_Dorsal_Attention_alpha_peak_cf_p95,0.0005640927638579567
net8_Salience_Ventral_Attention_aperiodic_exponent_median,0.0005281405753778174
global_aperiodic_exponent_p5,0.0004759866544565897
net8_Executive_Control_alpha_peak_cf_median,0.0004692191214491223
global_alpha_peak_cf_p95,0.0004120183164344518
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,0.0003944021459243719
net8_Executive_Control_alpha_peak_cf_p5,0.0003795638274632148
global_alpha_peak_pw_p95,0.0003330801092547865
net8_Default_Mode_alpha_peak_cf_p95,0.0002512455337751718
