feature,gain,cover,weight
global_aperiodic_exponent_p95,178.7183380126953,1394.861328125,55.0
net8_Default_Mode_aperiodic_exponent_p95,101.75091552734375,966.1495361328125,31.0
net8_Visual_n,56.55646514892578,814.1746826171875,42.0
net8_Limbic_aperiodic_exponent_p95,45.14636993408203,637.1190185546875,78.0
net8_Dorsal_Attention_n,34.33573913574219,473.4039306640625,43.0
net8_Temporal_Parietal_n,32.73057174682617,414.373291015625,27.0
global_alpha_peak_bw_p95,31.526948928833008,464.3440856933594,21.0
net8_Salience_Ventral_Attention_alpha_peak_bw_median,26.19100570678711,389.6509094238281,100.0
net8_Visual_alpha_peak_pw_p95,25.979156494140625,404.3717956542969,71.0
net8_Executive_Control_alpha_peak_pw_p95,25.407936096191406,314.83856201171875,18.0
global_alpha_peak_cf_median,24.47134780883789,319.640625,16.0
net8_Temporal_Parietal_aperiodic_exponent_p95,22.903322219848633,256.1499938964844,29.0
net8_Temporal_Parietal_alpha_peak_cf_median,21.819198608398438,320.7989196777344,46.0
net8_Executive_Control_alpha_peak_cf_p5,21.73448944091797,347.64154052734375,52.0
net8_Dorsal_Attention_alpha_peak_pw_p95,21.729795455932617,327.94525146484375,43.0
net8_Dorsal_Attention_alpha_peak_bw_p95,21.53833770751953,322.81964111328125,36.0
net8_Executive_Control_n,21.506900787353516,294.7801208496094,21.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,21.09842300415039,360.1358642578125,30.0
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,20.89275360107422,289.8863525390625,72.0
global_alpha_peak_pw_p95,20.537668228149414,277.2165832519531,17.0
net8_Limbic_alpha_peak_cf_median,19.976884841918945,245.06370544433594,51.0
net8_Default_Mode_alpha_peak_cf_median,19.791107177734375,277.21038818359375,32.0
net8_Temporal_Parietal_alpha_peak_cf_p5,19.18660545349121,210.232666015625,39.0
net8_Default_Mode_alpha_peak_pw_p95,19.010282516479492,241.52099609375,9.0
net8_Limbic_alpha_peak_cf_p5,18.19340705871582,256.4934997558594,74.0
net8_Executive_Control_alpha_peak_bw_p95,18.072284698486328,325.8956604003906,23.0
net8_Somatomotor_aperiodic_exponent_p95,18.014659881591797,183.99737548828125,29.0
net8_Executive_Control_aperiodic_exponent_median,17.97161293029785,178.50311279296875,3.0
net8_Visual_alpha_peak_cf_median,17.585437774658203,256.2713317871094,23.0
global_alpha_peak_cf_p95,17.314090728759766,160.320068359375,28.0
net8_Default_Mode_alpha_peak_bw_p95,17.168052673339844,202.18209838867188,35.0
net8_Limbic_aperiodic_exponent_p5,16.688020706176758,162.75125122070312,22.0
net8_Executive_Control_alpha_peak_cf_median,16.373645782470703,190.06849670410156,10.0
net8_Default_Mode_aperiodic_exponent_p5,15.919328689575195,107.60877990722656,10.0
net8_Limbic_alpha_peak_bw_p95,15.63576602935791,188.19297790527344,44.0
net8_Salience_Ventral_Attention_n,15.586603164672852,62.057945251464844,2.0
net8_Limbic_aperiodic_exponent_median,15.252351760864258,175.17457580566406,15.0
n_total,15.092778205871582,141.70059204101562,20.0
global_aperiodic_exponent_median,15.034079551696777,134.03338623046875,15.0
net8_Default_Mode_alpha_peak_pw_IQR,14.884061813354492,124.55986022949219,52.0
global_aperiodic_exponent_p5,14.619881629943848,122.6349868774414,16.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,14.46043872833252,136.21453857421875,40.0
net8_Executive_Control_aperiodic_exponent_p5,13.87120532989502,203.9273681640625,12.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,13.823293685913086,187.6021270751953,20.0
net8_Default_Mode_aperiodic_exponent_median,13.498005867004395,87.66666412353516,10.0
net8_Visual_alpha_peak_pw_median,13.429576873779297,150.21417236328125,42.0
net8_Somatomotor_aperiodic_exponent_p5,13.308220863342285,146.02635192871094,29.0
net8_Limbic_n,13.016454696655273,108.89984130859375,10.0
net8_Default_Mode_n,13.013776779174805,118.51547241210938,19.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,12.993313789367676,128.36378479003906,15.0
net8_Default_Mode_alpha_peak_cf_p95,12.916765213012695,108.68728637695312,25.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,12.73147201538086,185.4514617919922,15.0
net8_Executive_Control_alpha_peak_cf_p95,12.4369478225708,139.72967529296875,23.0
net8_Dorsal_Attention_aperiodic_exponent_median,11.875174522399902,124.16514587402344,9.0
net8_Limbic_alpha_peak_cf_p95,11.69753360748291,114.89669799804688,26.0
net8_Dorsal_Attention_alpha_peak_cf_p95,11.413507461547852,103.36335754394531,23.0
net8_Temporal_Parietal_aperiodic_exponent_p5,11.310911178588867,83.67533874511719,31.0
net8_Temporal_Parietal_alpha_peak_cf_p95,11.21297550201416,93.9575424194336,23.0
net8_Dorsal_Attention_aperiodic_exponent_p5,11.093859672546387,126.49166870117188,16.0
net8_Dorsal_Attention_aperiodic_exponent_p95,10.867981910705566,96.34736633300781,7.0
net8_Visual_aperiodic_exponent_p95,9.600135803222656,118.00479888916016,24.0
net8_Somatomotor_aperiodic_exponent_median,9.502281188964844,66.73666381835938,17.0
net8_Temporal_Parietal_aperiodic_exponent_median,9.218737602233887,100.4846420288086,23.0
net8_Executive_Control_aperiodic_exponent_p95,7.853626251220703,39.73275375366211,5.0
