feature,gain,cover,weight
net8_Default_Mode_aperiodic_exponent_p95,180.29388427734375,526.05615234375,16.0
global_aperiodic_exponent_p95,132.57118225097656,422.6524658203125,15.0
global_alpha_peak_bw_p95,44.552642822265625,277.5386657714844,18.0
net8_Dorsal_Attention_alpha_peak_pw_median,35.77149200439453,197.9876251220703,17.0
net8_Visual_alpha_peak_pw_p95,35.07453536987305,233.26394653320312,29.0
global_alpha_peak_pw_p95,23.595073699951172,157.86087036132812,11.0
net8_Temporal_Parietal_aperiodic_exponent_p95,22.057159423828125,183.67556762695312,15.0
global_alpha_peak_pw_median,22.01740074157715,130.32469177246094,11.0
net8_Somatomotor_aperiodic_exponent_p5,21.751203536987305,89.65274047851562,4.0
net8_Executive_Control_aperiodic_exponent_median,21.115951538085938,61.37629318237305,4.0
net8_Temporal_Parietal_alpha_peak_cf_p5,19.24881935119629,107.74462890625,29.0
net8_Limbic_alpha_peak_cf_p5,18.446481704711914,110.90190887451172,19.0
net8_Dorsal_Attention_aperiodic_exponent_median,18.30741310119629,81.65596008300781,5.0
global_alpha_peak_cf_p95,18.177274703979492,117.62230682373047,7.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,18.093730926513672,49.548851013183594,5.0
net8_Temporal_Parietal_alpha_peak_cf_median,17.975093841552734,109.35079193115234,15.0
net8_Default_Mode_alpha_peak_cf_p95,17.88956069946289,70.9946060180664,5.0
net8_Limbic_aperiodic_exponent_p95,17.451244354248047,123.085205078125,13.0
net8_Executive_Control_alpha_peak_bw_median,17.00580406188965,115.17507934570312,18.0
net8_Executive_Control_aperiodic_exponent_p95,16.917295455932617,67.36973571777344,12.0
net8_Default_Mode_alpha_peak_bw_p95,16.85157012939453,118.17396545410156,18.0
net8_Default_Mode_alpha_peak_cf_median,16.627883911132812,59.914146423339844,4.0
net8_Limbic_aperiodic_exponent_median,16.06882095336914,112.05815887451172,13.0
global_aperiodic_exponent_p5,15.995650291442871,55.01229476928711,11.0
net8_Limbic_alpha_peak_cf_median,15.375601768493652,131.54624938964844,22.0
net8_Dorsal_Attention_aperiodic_exponent_p95,15.297836303710938,105.44185638427734,10.0
net8_Visual_alpha_peak_cf_p95,15.228931427001953,52.83327102661133,13.0
net8_Temporal_Parietal_aperiodic_exponent_p5,14.990242958068848,63.26986312866211,12.0
net8_Somatomotor_aperiodic_exponent_p95,14.587423324584961,60.490352630615234,7.0
net8_Executive_Control_alpha_peak_cf_median,14.567327499389648,105.17339324951172,7.0
net8_Default_Mode_aperiodic_exponent_median,14.065464973449707,78.06989288330078,13.0
global_aperiodic_exponent_median,14.036089897155762,57.85316848754883,3.0
net8_Executive_Control_alpha_peak_cf_p95,13.560234069824219,100.82984161376953,3.0
net8_Temporal_Parietal_aperiodic_exponent_median,13.177274703979492,62.86306381225586,8.0
net8_Default_Mode_aperiodic_exponent_p5,12.79889965057373,46.68292236328125,3.0
global_alpha_peak_bw_median,12.793258666992188,83.62981414794922,18.0
net8_Limbic_alpha_peak_bw_p95,12.539947509765625,68.55563354492188,18.0
net8_Limbic_aperiodic_exponent_p5,12.346116065979004,100.54327392578125,8.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,12.051140785217285,102.88429260253906,9.0
net8_Somatomotor_aperiodic_exponent_median,12.01871395111084,53.9024658203125,6.0
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,11.760876655578613,85.25299072265625,23.0
net8_Dorsal_Attention_alpha_peak_cf_median,11.390793800354004,51.524131774902344,5.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,11.01845645904541,79.07762145996094,7.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,10.785880088806152,37.66426086425781,12.0
net8_Limbic_alpha_peak_cf_p95,10.528461456298828,84.53960418701172,17.0
net8_Dorsal_Attention_aperiodic_exponent_p5,10.344531059265137,39.19460678100586,8.0
net8_Somatomotor_alpha_peak_cf_median,9.76495361328125,33.793426513671875,4.0
net8_Temporal_Parietal_alpha_peak_cf_p95,9.376280784606934,56.74477005004883,6.0
net8_Visual_aperiodic_exponent_p95,9.354514122009277,45.06312561035156,9.0
net8_Dorsal_Attention_alpha_peak_cf_p95,8.809366226196289,32.91240692138672,5.0
net8_Visual_alpha_peak_cf_median,8.466584205627441,64.63715362548828,8.0
net8_Somatomotor_alpha_peak_cf_p95,7.017481327056885,47.68753433227539,3.0
global_alpha_peak_cf_median,6.539821147918701,43.613887786865234,4.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,5.9099016189575195,27.821271896362305,2.0
net8_Executive_Control_aperiodic_exponent_p5,5.230791091918945,34.14921188354492,2.0
