feature,gain,cover,weight
global_aperiodic_exponent_p95,72.41138458251953,599.8699340820312,29.0
net8_Default_Mode_aperiodic_exponent_p95,60.52398681640625,845.4378662109375,40.0
net8_Temporal_Parietal_alpha_peak_cf_median,30.10892105102539,505.3288879394531,52.0
net8_Visual_n,22.29197120666504,807.585693359375,48.0
net8_Temporal_Parietal_n,17.44916534423828,569.8881225585938,41.0
net8_Temporal_Parietal_aperiodic_exponent_p95,16.554189682006836,500.4482727050781,70.0
global_alpha_peak_cf_median,14.84554386138916,208.7557830810547,17.0
net8_Dorsal_Attention_alpha_peak_bw_median,14.418806076049805,346.97979736328125,70.0
net8_Limbic_alpha_peak_cf_median,13.69262409210205,344.53558349609375,69.0
net8_Limbic_n,13.205071449279785,353.0576477050781,15.0
net8_Default_Mode_alpha_peak_bw_p95,13.042810440063477,338.92431640625,70.0
net8_Somatomotor_aperiodic_exponent_median,12.755921363830566,377.97442626953125,65.0
net8_Limbic_aperiodic_exponent_p95,12.723165512084961,432.60028076171875,107.0
net8_Limbic_alpha_peak_cf_p5,12.655533790588379,234.7824249267578,53.0
net8_Executive_Control_alpha_peak_bw_median,11.61218547821045,297.6320495605469,83.0
net8_Default_Mode_aperiodic_exponent_median,11.59402084350586,419.4130554199219,58.0
net8_Somatomotor_alpha_peak_cf_p5,11.275721549987793,197.49136352539062,41.0
net8_Dorsal_Attention_aperiodic_exponent_median,11.168121337890625,209.18222045898438,26.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,10.99045467376709,277.35400390625,41.0
net8_Dorsal_Attention_alpha_peak_bw_p95,10.954909324645996,175.49073791503906,59.0
net8_Visual_alpha_peak_cf_median,10.854915618896484,268.4649963378906,54.0
net8_Temporal_Parietal_aperiodic_offset_p95,10.757383346557617,260.246826171875,79.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,10.710598945617676,245.54888916015625,45.0
net8_Somatomotor_aperiodic_exponent_p95,9.652364730834961,228.8181610107422,22.0
net8_Executive_Control_aperiodic_exponent_median,9.651079177856445,267.1285400390625,36.0
net8_Temporal_Parietal_alpha_peak_cf_p5,9.447037696838379,251.12608337402344,46.0
global_aperiodic_exponent_median,9.330178260803223,212.90357971191406,24.0
n_total,9.277198791503906,206.15000915527344,23.0
net8_Dorsal_Attention_aperiodic_exponent_p95,9.179308891296387,350.92657470703125,25.0
global_alpha_peak_cf_p5,9.172737121582031,320.59893798828125,50.0
net8_Default_Mode_n,9.051084518432617,197.02406311035156,22.0
net8_Default_Mode_alpha_peak_cf_median,9.005232810974121,130.89178466796875,19.0
net8_Temporal_Parietal_aperiodic_exponent_median,8.804866790771484,229.38865661621094,45.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,8.650094032287598,205.41741943359375,43.0
net8_Visual_aperiodic_exponent_p95,8.460238456726074,205.1393585205078,27.0
net8_Temporal_Parietal_alpha_peak_cf_p95,8.223077774047852,291.6903991699219,44.0
net8_Limbic_aperiodic_offset_p95,8.146783828735352,237.84512329101562,61.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,8.111079216003418,413.49560546875,34.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,8.07276439666748,157.89111328125,37.0
net8_Executive_Control_n,8.01962947845459,189.0525665283203,12.0
net8_Dorsal_Attention_alpha_peak_cf_median,8.004700660705566,203.79454040527344,27.0
net8_Dorsal_Attention_alpha_peak_cf_p95,7.935708999633789,126.80015563964844,36.0
net8_Limbic_aperiodic_exponent_median,7.820802688598633,183.372802734375,36.0
net8_Default_Mode_alpha_peak_cf_p95,7.789790153503418,173.44334411621094,25.0
net8_Visual_alpha_peak_cf_p95,7.789078235626221,388.3650817871094,51.0
net8_Visual_aperiodic_exponent_median,7.777524471282959,103.35284423828125,32.0
net8_Executive_Control_alpha_peak_cf_p95,7.635495185852051,173.90797424316406,20.0
net8_Executive_Control_alpha_peak_cf_median,7.545036792755127,292.33673095703125,22.0
net8_Salience_Ventral_Attention_n,7.3343186378479,297.3138122558594,19.0
net8_Somatomotor_alpha_peak_cf_p95,7.276033401489258,337.06329345703125,30.0
net8_Somatomotor_alpha_peak_cf_median,7.119126796722412,119.84273529052734,31.0
global_alpha_peak_cf_p95,7.108152866363525,134.6786651611328,23.0
net8_Limbic_alpha_peak_cf_p95,6.998409748077393,141.6840362548828,30.0
net8_Executive_Control_aperiodic_exponent_p95,6.899333953857422,148.57008361816406,18.0
