feature,mean_abs_shap
net8_Temporal_Parietal_aperiodic_exponent_p95,0.0467712392669124
net8_Limbic_aperiodic_exponent_p95,0.045606919828958856
net8_Default_Mode_aperiodic_exponent_p95,0.03798682108038895
net8_Somatomotor_aperiodic_exponent_median,0.034361320181721375
global_aperiodic_exponent_p95,0.030411578835799348
net8_Visual_n,0.02990209598454735
net8_Default_Mode_aperiodic_exponent_median,0.029288620374626297
net8_Temporal_Parietal_alpha_peak_cf_median,0.027883337368028043
net8_Dorsal_Attention_alpha_peak_bw_median,0.023085888779601108
net8_Limbic_alpha_peak_cf_median,0.021824451803905732
net8_Default_Mode_alpha_peak_bw_p95,0.021783751215486286
net8_Temporal_Parietal_n,0.02059267276483114
net8_Executive_Control_alpha_peak_bw_median,0.020352333010733956
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,0.016519580985716056
net8_Temporal_Parietal_aperiodic_offset_p95,0.016027992357930478
net8_Salience_Ventral_Attention_aperiodic_exponent_median,0.012501555652983942
net8_Dorsal_Attention_alpha_peak_bw_p95,0.012069741379269071
net8_Temporal_Parietal_aperiodic_exponent_median,0.011826035864031179
net8_Dorsal_Attention_aperiodic_exponent_p95,0.010657876850336267
net8_Temporal_Parietal_alpha_peak_cf_p95,0.010020253953693279
net8_Executive_Control_aperiodic_exponent_median,0.009911352006909718
global_aperiodic_exponent_median,0.009587525992808689
net8_Visual_alpha_peak_cf_p95,0.009402706842170592
net8_Visual_alpha_peak_cf_median,0.009113596461045715
net8_Limbic_alpha_peak_cf_p5,0.008928483383728123
net8_Dorsal_Attention_aperiodic_exponent_median,0.00845512470146285
net8_Limbic_aperiodic_offset_p95,0.007561529743522717
net8_Somatomotor_alpha_peak_cf_p5,0.007514114665807005
global_alpha_peak_cf_median,0.006679596595555908
net8_Limbic_n,0.006570363781921248
n_total,0.006537883109801593
net8_Somatomotor_aperiodic_exponent_p95,0.006428475162419755
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,0.006425552213143695
global_alpha_peak_cf_p5,0.006313780912761288
net8_Temporal_Parietal_alpha_peak_cf_p5,0.00607806798861176
net8_Salience_Ventral_Attention_alpha_peak_cf_median,0.006000675314768638
net8_Limbic_aperiodic_exponent_median,0.005405139145613993
net8_Visual_aperiodic_exponent_median,0.005257225129010982
net8_Executive_Control_aperiodic_exponent_p95,0.004949461551135721
net8_Visual_aperiodic_exponent_p95,0.004834869940992015
net8_Somatomotor_alpha_peak_cf_p95,0.004003261866426571
net8_Default_Mode_n,0.0038919980474841805
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,0.0035917586967823376
net8_Default_Mode_alpha_peak_cf_median,0.003535750680763738
net8_Default_Mode_alpha_peak_cf_p95,0.0035087872694061803
net8_Dorsal_Attention_alpha_peak_cf_median,0.0034074628285455794
net8_Executive_Control_alpha_peak_cf_median,0.003334605920904222
net8_Salience_Ventral_Attention_n,0.003171911422316447
net8_Dorsal_Attention_alpha_peak_cf_p95,0.003123441202639274
net8_Somatomotor_alpha_peak_cf_median,0.003076749045037458
global_alpha_peak_cf_p95,0.0026761768197048888
net8_Executive_Control_n,0.0026685919660688704
net8_Executive_Control_alpha_peak_cf_p95,0.0025029521658665385
net8_Limbic_alpha_peak_cf_p95,0.002406725263869367
