feature,gain,cover,weight
net8_Default_Mode_aperiodic_exponent_p95,37.14698791503906,257.8787841796875,242.0
global_aperiodic_exponent_p95,35.278770446777344,190.62840270996094,146.0
net8_Visual_n,19.28384780883789,346.17779541015625,219.0
net8_Dorsal_Attention_aperiodic_exponent_p95,13.866935729980469,132.0597686767578,202.0
net8_Temporal_Parietal_alpha_peak_cf_median,12.578153610229492,157.2257843017578,278.0
net8_Limbic_alpha_peak_cf_median,10.110715866088867,140.28561401367188,312.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,9.476471900939941,123.77037811279297,185.0
net8_Temporal_Parietal_n,9.279424667358398,207.8316650390625,101.0
net8_Temporal_Parietal_aperiodic_exponent_p95,9.240799903869629,185.8566436767578,375.0
net8_Limbic_aperiodic_exponent_p95,8.492657661437988,182.567138671875,585.0
net8_Default_Mode_alpha_peak_bw_p95,8.22842025756836,117.09538269042969,241.0
net8_Dorsal_Attention_alpha_peak_pw_IQR,7.928624629974365,136.29879760742188,367.0
global_alpha_peak_bw_p95,7.806298732757568,99.29762268066406,175.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,7.78179931640625,170.81553649902344,184.0
net8_Dorsal_Attention_n,7.487105369567871,67.57862854003906,32.0
global_alpha_peak_cf_median,7.425680637359619,101.90284729003906,105.0
net8_Somatomotor_aperiodic_exponent_p5,7.259067535400391,144.65513610839844,242.0
global_aperiodic_exponent_p5,7.241485595703125,129.8636016845703,164.0
net8_Default_Mode_alpha_peak_bw_median,6.86656379699707,133.0104217529297,370.0
net8_Executive_Control_aperiodic_exponent_p5,6.782708168029785,119.86033630371094,326.0
global_aperiodic_exponent_median,6.761719703674316,79.04332733154297,76.0
net8_Somatomotor_aperiodic_exponent_median,6.661082744598389,129.5623321533203,227.0
net8_Executive_Control_aperiodic_exponent_p95,6.6406331062316895,114.57950592041016,139.0
net8_Temporal_Parietal_aperiodic_offset_p95,6.543734073638916,113.24081420898438,458.0
net8_Dorsal_Attention_alpha_peak_pw_p95,6.394812107086182,89.94145965576172,150.0
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,6.372828006744385,130.11354064941406,268.0
net8_Default_Mode_aperiodic_exponent_median,6.338670253753662,174.11219787597656,225.0
net8_Visual_alpha_peak_pw_p95,6.2989068031311035,108.53778839111328,239.0
net8_Temporal_Parietal_alpha_peak_cf_p95,6.264644145965576,104.91316223144531,330.0
net8_Limbic_n,6.2001848220825195,72.00212097167969,63.0
global_alpha_peak_cf_p5,6.1191911697387695,95.90991973876953,154.0
net8_Visual_alpha_peak_cf_median,6.114486217498779,122.83711242675781,269.0
net8_Limbic_alpha_peak_bw_p95,6.066296577453613,127.49645233154297,350.0
net8_Somatomotor_alpha_peak_cf_median,5.926316738128662,79.22000885009766,173.0
net8_Dorsal_Attention_aperiodic_exponent_p5,5.815235137939453,98.80121612548828,161.0
