feature,mean_abs_shap
net8_Limbic_aperiodic_exponent_p95,0.06731234922917462
net8_Default_Mode_aperiodic_exponent_p95,0.05321493202396129
net8_Temporal_Parietal_aperiodic_exponent_p95,0.047159919167156124
net8_Visual_n,0.034534019534561165
net8_Default_Mode_aperiodic_exponent_median,0.032919836985341074
net8_Temporal_Parietal_aperiodic_offset_p95,0.032252929504513535
global_aperiodic_exponent_p95,0.028302391844372065
net8_Somatomotor_aperiodic_exponent_median,0.02512854370145876
net8_Executive_Control_aperiodic_exponent_p5,0.024823027044374543
net8_Limbic_alpha_peak_cf_median,0.023858618548355193
net8_Temporal_Parietal_alpha_peak_cf_median,0.02277645853888831
net8_Dorsal_Attention_aperiodic_exponent_p95,0.022277092918952968
net8_Default_Mode_alpha_peak_bw_median,0.021077630503350816
net8_Dorsal_Attention_alpha_peak_pw_IQR,0.02062768868923715
net8_Somatomotor_aperiodic_exponent_p5,0.020036808415245657
net8_Temporal_Parietal_alpha_peak_cf_p95,0.01890958126505212
net8_Limbic_aperiodic_offset_median,0.018465605792004746
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,0.016794685052602273
net8_Default_Mode_alpha_peak_bw_p95,0.016506121312593006
net8_Visual_aperiodic_exponent_p95,0.015292747009559182
global_aperiodic_exponent_p5,0.015185171173616303
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,0.014842201055762049
net8_Visual_alpha_peak_pw_median,0.014415186823591159
net8_Limbic_aperiodic_offset_p95,0.01352635016275852
net8_Limbic_alpha_peak_bw_p95,0.013014297594559698
net8_Default_Mode_alpha_peak_pw_p95,0.01240617022521086
net8_Executive_Control_aperiodic_exponent_p95,0.01198748067674616
net8_Executive_Control_alpha_peak_cf_p5,0.011938889926702627
net8_Visual_alpha_peak_pw_p95,0.011478256202157313
net8_Temporal_Parietal_n,0.011270962985579938
net8_Visual_aperiodic_exponent_median,0.010661714959188249
net8_Visual_alpha_peak_cf_median,0.010637300799260788
net8_Executive_Control_alpha_peak_pw_IQR,0.010173974904013098
global_alpha_peak_bw_p95,0.01012656049969547
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,0.009592520563883844
net8_Dorsal_Attention_alpha_peak_cf_median,0.00915119974867263
net8_Somatomotor_alpha_peak_cf_p5,0.008958912849427968
net8_Default_Mode_alpha_peak_cf_median,0.008711856309954611
net8_Dorsal_Attention_aperiodic_exponent_p5,0.008635763361240665
net8_Limbic_alpha_peak_cf_p95,0.008143549315802743
net8_Temporal_Parietal_aperiodic_exponent_median,0.00810015695299317
net8_Salience_Ventral_Attention_alpha_peak_cf_median,0.008035008678339166
net8_Temporal_Parietal_alpha_peak_cf_p5,0.007788745622613675
net8_Dorsal_Attention_aperiodic_exponent_median,0.007526163142488487
net8_Executive_Control_alpha_peak_bw_p95,0.0074998144058579215
net8_Temporal_Parietal_alpha_peak_bw_p95,0.0069426987566052365
net8_Dorsal_Attention_alpha_peak_cf_p5,0.006606476573796949
net8_Temporal_Parietal_aperiodic_exponent_p5,0.006591349432029124
net8_Limbic_alpha_peak_cf_p5,0.006528611499887959
net8_Dorsal_Attention_alpha_peak_pw_p95,0.006389295748370069
global_aperiodic_exponent_median,0.006259634357328566
net8_Executive_Control_alpha_peak_pw_p95,0.006200022696040783
global_alpha_peak_cf_median,0.005751620073684279
net8_Visual_alpha_peak_cf_p5,0.0056529118267209365
net8_Somatomotor_alpha_peak_cf_median,0.005440941312550682
net8_Default_Mode_alpha_peak_cf_p5,0.005361076090111143
net8_Salience_Ventral_Attention_aperiodic_exponent_median,0.005096043539128342
net8_Executive_Control_aperiodic_exponent_median,0.004881461913610706
net8_Somatomotor_n,0.004678864464668193
net8_Salience_Ventral_Attention_n,0.0045667719006902315
global_alpha_peak_pw_IQR,0.004547462182833536
global_alpha_peak_pw_p95,0.0045206429995905874
net8_Limbic_aperiodic_exponent_median,0.004471666765571716
net8_Default_Mode_n,0.004368270606255736
n_total,0.00435072614622045
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,0.003880005521996663
net8_Somatomotor_aperiodic_exponent_p95,0.0030861049332258634
global_alpha_peak_cf_p5,0.0029816621485077473
net8_Executive_Control_alpha_peak_cf_median,0.0027439800904184635
net8_Executive_Control_n,0.00238566392864386
net8_Limbic_n,0.0019380905670982615
net8_Dorsal_Attention_n,0.0010581337395253409
