feature,gain,cover,weight
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,45.711639404296875,360.3516540527344,14.0
net8_Executive_Control_aperiodic_exponent_p95,42.933021545410156,348.9432373046875,13.0
net8_Somatomotor_alpha_peak_cf_p5,36.75172424316406,458.56103515625,4.0
global_alpha_peak_cf_p5,35.851924896240234,558.712890625,2.0
global_aperiodic_exponent_p95,33.14094161987305,318.427734375,17.0
net8_Limbic_alpha_peak_cf_median,20.417282104492188,334.4622802734375,8.0
net8_Temporal_Parietal_n,18.38140869140625,415.33837890625,11.0
net8_Visual_aperiodic_exponent_p95,18.21977424621582,320.23492431640625,15.0
net8_Default_Mode_aperiodic_exponent_p95,18.049030303955078,309.03106689453125,6.0
net8_Limbic_aperiodic_exponent_p95,17.786733627319336,343.49945068359375,18.0
net8_Dorsal_Attention_alpha_peak_cf_p5,15.492083549499512,344.404541015625,6.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,15.170506477355957,285.3143005371094,7.0
net8_Visual_alpha_peak_pw_median,15.15302848815918,272.95245361328125,23.0
net8_Temporal_Parietal_alpha_peak_cf_p5,14.36180591583252,383.54132080078125,16.0
net8_Default_Mode_n,13.79481029510498,332.22381591796875,5.0
net8_Executive_Control_alpha_peak_cf_median,13.165306091308594,126.72685241699219,1.0
net8_Default_Mode_alpha_peak_cf_median,13.111531257629395,360.787841796875,10.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,12.158555030822754,327.23394775390625,8.0
net8_Somatomotor_aperiodic_exponent_p95,11.980656623840332,307.1185302734375,16.0
net8_Temporal_Parietal_aperiodic_exponent_p95,11.59142017364502,383.73016357421875,9.0
net8_Dorsal_Attention_alpha_peak_cf_median,11.402226448059082,400.4203796386719,7.0
net8_Default_Mode_aperiodic_exponent_median,11.075145721435547,236.9164581298828,1.0
net8_Limbic_n,10.971099853515625,98.04375457763672,7.0
global_alpha_peak_pw_p95,10.89742374420166,413.9155578613281,6.0
net8_Default_Mode_aperiodic_exponent_p5,10.708319664001465,180.00497436523438,7.0
n_total,10.561983108520508,232.03826904296875,12.0
net8_Visual_aperiodic_exponent_p5,10.38154411315918,284.29095458984375,10.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,10.325357437133789,205.49038696289062,5.0
net8_Dorsal_Attention_aperiodic_exponent_median,10.24998950958252,285.9587707519531,12.0
net8_Executive_Control_aperiodic_exponent_median,9.74140453338623,272.7091369628906,5.0
net8_Limbic_aperiodic_exponent_p5,9.683361053466797,172.24188232421875,5.0
net8_Visual_alpha_peak_pw_p95,9.485116958618164,293.557373046875,7.0
net8_Dorsal_Attention_aperiodic_exponent_p5,9.453229904174805,275.9163818359375,9.0
net8_Somatomotor_aperiodic_exponent_median,9.235397338867188,296.82781982421875,5.0
net8_Limbic_aperiodic_exponent_median,9.193330764770508,62.44746398925781,2.0
net8_Executive_Control_alpha_peak_cf_p5,9.039562225341797,211.54563903808594,4.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,8.995461463928223,193.0481414794922,6.0
net8_Temporal_Parietal_alpha_peak_cf_median,8.909697532653809,279.99578857421875,2.0
net8_Dorsal_Attention_aperiodic_exponent_p95,8.879542350769043,385.3519592285156,4.0
global_aperiodic_exponent_p5,8.862363815307617,316.17205810546875,5.0
global_alpha_peak_cf_median,8.843602180480957,227.72618103027344,3.0
net8_Executive_Control_n,8.572574615478516,336.9730224609375,8.0
net8_Executive_Control_aperiodic_exponent_p5,8.565979957580566,338.1103820800781,5.0
net8_Temporal_Parietal_aperiodic_exponent_median,8.487762451171875,129.3653106689453,3.0
net8_Visual_alpha_peak_cf_median,8.453287124633789,163.24166870117188,7.0
net8_Limbic_alpha_peak_cf_p5,8.115918159484863,256.62322998046875,15.0
net8_Somatomotor_aperiodic_exponent_p5,8.054859161376953,296.5429992675781,9.0
net8_Default_Mode_alpha_peak_cf_p95,7.869077682495117,222.5824432373047,4.0
global_aperiodic_exponent_median,7.856660842895508,244.61019897460938,2.0
net8_Temporal_Parietal_alpha_peak_cf_p95,7.610039234161377,230.0561065673828,12.0
net8_Visual_alpha_peak_cf_p95,7.551825523376465,174.9642791748047,9.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,7.264583587646484,24.90911865234375,4.0
net8_Visual_alpha_peak_cf_p5,7.093545436859131,196.16090393066406,6.0
net8_Executive_Control_alpha_peak_cf_p95,6.9152960777282715,86.73546600341797,2.0
net8_Default_Mode_alpha_peak_cf_p5,6.846357345581055,97.23881530761719,2.0
net8_Somatomotor_alpha_peak_cf_median,6.828123092651367,458.7012023925781,2.0
net8_Limbic_alpha_peak_cf_p95,6.7500152587890625,71.08428955078125,6.0
net8_Visual_aperiodic_exponent_median,6.292516231536865,211.2542266845703,3.0
net8_Temporal_Parietal_aperiodic_exponent_p5,5.870416164398193,372.90679931640625,5.0
net8_Salience_Ventral_Attention_n,5.614138126373291,46.568321228027344,2.0
