feature,mean_abs_shap
net8_Limbic_aperiodic_exponent_p95,0.032666664986106125
net8_Executive_Control_aperiodic_exponent_p95,0.028230939306794912
net8_Visual_aperiodic_exponent_p95,0.027280956021300255
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,0.02482021843993644
net8_Default_Mode_alpha_peak_cf_median,0.023400363882942418
net8_Temporal_Parietal_n,0.023066490406701168
net8_Temporal_Parietal_alpha_peak_cf_p5,0.020466636752694646
net8_Temporal_Parietal_aperiodic_exponent_p95,0.020041601970677482
net8_Somatomotor_aperiodic_exponent_p95,0.01950433662810307
global_aperiodic_exponent_p95,0.01935757868404228
net8_Visual_alpha_peak_pw_median,0.01889831854447775
net8_Dorsal_Attention_aperiodic_exponent_median,0.018772900991632556
net8_Visual_aperiodic_exponent_p5,0.01557899508145255
net8_Default_Mode_aperiodic_exponent_p95,0.013661695890825507
net8_Somatomotor_aperiodic_exponent_p5,0.01325396851473227
net8_Somatomotor_alpha_peak_cf_p5,0.012193247898773601
net8_Limbic_alpha_peak_cf_median,0.012129689963517362
net8_Dorsal_Attention_alpha_peak_cf_p5,0.010741312207114028
net8_Salience_Ventral_Attention_alpha_peak_cf_median,0.010392452041439555
net8_Limbic_alpha_peak_cf_p5,0.009833209357626722
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,0.009769179483717303
net8_Executive_Control_n,0.009182834179399118
n_total,0.008883744236889559
global_alpha_peak_pw_p95,0.008880434807920685
net8_Temporal_Parietal_alpha_peak_cf_p95,0.008732713687837679
net8_Default_Mode_aperiodic_exponent_p5,0.008565006915282542
net8_Dorsal_Attention_aperiodic_exponent_p5,0.008538614419936807
net8_Dorsal_Attention_aperiodic_exponent_p95,0.00849281079315321
global_aperiodic_exponent_p5,0.00814225437512118
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,0.0067548895260848545
net8_Limbic_n,0.006449120740186869
net8_Dorsal_Attention_alpha_peak_cf_median,0.005839203787543089
net8_Visual_alpha_peak_cf_p95,0.005489136468141962
net8_Visual_alpha_peak_cf_median,0.005193614316560544
net8_Visual_alpha_peak_pw_p95,0.005112550842477329
net8_Limbic_aperiodic_exponent_p5,0.005005724654649689
net8_Temporal_Parietal_aperiodic_exponent_p5,0.00500383978462383
net8_Executive_Control_aperiodic_exponent_p5,0.00455315898704856
net8_Default_Mode_n,0.004258177602170309
net8_Salience_Ventral_Attention_aperiodic_exponent_median,0.004172994284654122
net8_Temporal_Parietal_aperiodic_exponent_median,0.003789907521756135
global_alpha_peak_cf_p5,0.0036853100900246655
net8_Executive_Control_aperiodic_exponent_median,0.003525196229967688
net8_Default_Mode_alpha_peak_cf_p95,0.0033951542470175683
net8_Default_Mode_aperiodic_exponent_median,0.0032463263092050738
net8_Limbic_alpha_peak_cf_p95,0.00318990998370229
net8_Somatomotor_aperiodic_exponent_median,0.003111147986469279
net8_Visual_alpha_peak_cf_p5,0.0029526741095740137
global_alpha_peak_cf_median,0.002751901947804026
net8_Executive_Control_alpha_peak_cf_p5,0.002728443044115717
net8_Somatomotor_alpha_peak_cf_median,0.002195273896989998
net8_Limbic_aperiodic_exponent_median,0.0020932425956235855
net8_Default_Mode_alpha_peak_cf_p5,0.0018997739553996652
net8_Executive_Control_alpha_peak_cf_median,0.001856209440040833
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,0.001806274541351102
net8_Visual_aperiodic_exponent_median,0.0017523405103592148
net8_Executive_Control_alpha_peak_cf_p95,0.0016746305420044468
global_aperiodic_exponent_median,0.0016362669187919203
net8_Temporal_Parietal_alpha_peak_cf_median,0.0015283794365874117
net8_Salience_Ventral_Attention_n,0.001308273484961073
