feature,gain,cover,weight
net8_Default_Mode_aperiodic_exponent_p95,21.303720474243164,98.00629425048828,27.0
net8_Dorsal_Attention_aperiodic_exponent_p95,17.832983016967773,124.05157470703125,35.0
net8_Executive_Control_aperiodic_exponent_p95,17.52315902709961,119.83601379394531,34.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p95,12.306967735290527,98.06951141357422,48.0
net8_Temporal_Parietal_n,10.01484203338623,108.04478454589844,21.0
net8_Visual_alpha_peak_cf_median,9.664026260375977,108.17791748046875,34.0
net8_Limbic_aperiodic_exponent_p95,9.279950141906738,105.11691284179688,62.0
global_aperiodic_exponent_p95,9.160563468933105,87.33464813232422,21.0
n_total,7.428421974182129,73.49359893798828,40.0
net8_Temporal_Parietal_alpha_peak_cf_p5,7.326873779296875,79.0497817993164,44.0
net8_Salience_Ventral_Attention_alpha_peak_bw_p95,7.2052154541015625,102.81005859375,66.0
net8_Somatomotor_alpha_peak_cf_median,6.98785400390625,79.3734130859375,30.0
net8_Default_Mode_alpha_peak_cf_median,6.7630510330200195,121.97476959228516,32.0
net8_Dorsal_Attention_alpha_peak_cf_median,6.730523109436035,93.9268569946289,23.0
net8_Visual_aperiodic_exponent_p95,6.564000129699707,78.4177017211914,49.0
net8_Visual_alpha_peak_pw_median,6.549699306488037,86.2552490234375,42.0
net8_Dorsal_Attention_alpha_peak_pw_p95,6.472520351409912,83.64901733398438,25.0
net8_Executive_Control_alpha_peak_pw_p95,6.384026050567627,48.162498474121094,26.0
net8_Default_Mode_aperiodic_exponent_median,6.303722858428955,71.89696502685547,22.0
net8_Somatomotor_aperiodic_exponent_p5,6.24088716506958,79.50548553466797,27.0
net8_Somatomotor_aperiodic_exponent_p95,6.228910446166992,69.8323745727539,31.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p5,5.99863862991333,71.49391174316406,40.0
net8_Visual_alpha_peak_pw_p95,5.940915107727051,75.53653717041016,34.0
global_aperiodic_exponent_p5,5.8686842918396,63.72977066040039,16.0
net8_Temporal_Parietal_aperiodic_exponent_median,5.797418594360352,54.11526870727539,31.0
net8_Visual_alpha_peak_cf_p95,5.655577659606934,67.32534790039062,39.0
net8_Somatomotor_alpha_peak_cf_p5,5.6453657150268555,46.335262298583984,28.0
net8_Temporal_Parietal_aperiodic_offset_p95,5.62149715423584,76.10115051269531,71.0
net8_Temporal_Parietal_aperiodic_exponent_p95,5.598275184631348,113.23761749267578,52.0
net8_Executive_Control_aperiodic_exponent_p5,5.555576801300049,65.78436279296875,23.0
net8_Dorsal_Attention_aperiodic_exponent_median,5.545833110809326,87.45164489746094,21.0
net8_Executive_Control_aperiodic_exponent_median,5.524892330169678,74.98290252685547,22.0
net8_Visual_aperiodic_exponent_p5,5.463035583496094,61.8350830078125,34.0
net8_Limbic_n,5.423063278198242,44.89978790283203,20.0
net8_Dorsal_Attention_aperiodic_exponent_p5,5.355826377868652,100.3135757446289,25.0
net8_Dorsal_Attention_alpha_peak_cf_p5,5.351405143737793,94.11376953125,33.0
global_alpha_peak_cf_median,5.305395603179932,65.39044189453125,9.0
net8_Somatomotor_aperiodic_exponent_median,5.216492176055908,73.26376342773438,37.0
net8_Salience_Ventral_Attention_alpha_peak_cf_p95,5.203676223754883,73.80725860595703,29.0
net8_Default_Mode_alpha_peak_pw_IQR,5.198606491088867,61.90288162231445,44.0
net8_Limbic_aperiodic_exponent_median,5.150972843170166,54.93254470825195,35.0
net8_Default_Mode_aperiodic_exponent_p5,5.125479698181152,62.70260238647461,29.0
net8_Temporal_Parietal_alpha_peak_cf_p95,5.12080192565918,40.22359848022461,22.0
net8_Default_Mode_alpha_peak_pw_p95,5.111196517944336,64.27123260498047,18.0
net8_Temporal_Parietal_aperiodic_exponent_p5,5.049434185028076,71.46111297607422,24.0
net8_Limbic_alpha_peak_cf_median,5.024638652801514,41.781044006347656,49.0
global_aperiodic_exponent_median,5.009891986846924,52.97199249267578,13.0
global_alpha_peak_pw_p95,4.964352130889893,85.70568084716797,22.0
global_alpha_peak_cf_p95,4.954930782318115,62.15984344482422,21.0
net8_Executive_Control_alpha_peak_cf_p5,4.9262824058532715,60.39142990112305,30.0
net8_Temporal_Parietal_alpha_peak_cf_median,4.819197177886963,72.8100814819336,30.0
net8_Default_Mode_n,4.771550178527832,49.530582427978516,18.0
net8_Salience_Ventral_Attention_aperiodic_exponent_p5,4.741114139556885,76.03809356689453,13.0
net8_Limbic_aperiodic_offset_p95,4.69191837310791,56.74936294555664,61.0
net8_Limbic_alpha_peak_cf_p5,4.663617134094238,73.8710708618164,42.0
net8_Visual_aperiodic_exponent_median,4.627850532531738,88.10431671142578,38.0
net8_Salience_Ventral_Attention_alpha_peak_cf_median,4.583022594451904,71.1960678100586,25.0
net8_Limbic_alpha_peak_cf_p95,4.438138961791992,48.1648063659668,46.0
net8_Salience_Ventral_Attention_aperiodic_exponent_median,4.431210041046143,89.3711166381836,12.0
net8_Default_Mode_alpha_peak_cf_p95,4.4161505699157715,52.70487976074219,21.0
net8_Executive_Control_alpha_peak_cf_p95,4.410487651824951,85.25220489501953,25.0
net8_Default_Mode_alpha_peak_cf_p5,4.374724388122559,63.598838806152344,29.0
net8_Somatomotor_alpha_peak_cf_p95,4.14471435546875,69.83423614501953,28.0
global_alpha_peak_cf_p5,3.909186601638794,62.94406509399414,19.0
net8_Executive_Control_alpha_peak_cf_median,3.9088406562805176,65.02546691894531,20.0
net8_Dorsal_Attention_alpha_peak_cf_p95,3.7517127990722656,59.32528305053711,17.0
